file,rows,bytes,columns,sha256,source_file,source_sha256
ACTIONS_PIT_ONLY.csv.gz,672423,5046026,date|action|ticker|value,74b449a656a399b2297cc5e16410c29db3fd04f0d1d9bfc689962f3e49838204,SHARADAR_ACTIONS.zip,db67132dca8cf38107ca4bcaea7276ea5d0e8f77254f6556802caad6efa91b02
SEP_1998_PIT_ONLY.csv.gz,2035181,19779942,ticker|date|volume|closeunadj,32d34dbd800305550d425bc292d95881c0d5c7580ed7666ce78b2466f880782a,SHARADAR_SEP_1998.csv(1).gz,cb0549b4e80ab55a11adec465ac5caa6f45159e465e593b7e541f222988119f8
SEP_1999_PIT_ONLY.csv.gz,2007924,19529263,ticker|date|volume|closeunadj,884c844fe8a7053b1d53a31b840f06b69470563bf31921996dd7cd02b60cd263,SHARADAR_SEP_1999.csv(1).gz,86d2efc937b792353b4ea5b44035d698f62348435b4a02b99f3fb72aa283c6da
SEP_2000_PIT_ONLY.csv.gz,1975696,19420262,ticker|date|volume|closeunadj,8f4af3f1afdd2bfa23a4a5d691c108de61ee9d7022edb57218d08131e70b7585,SHARADAR_SEP_2000.csv(2).gz,431fc93957070750b1beae3ebffe2a27c9792ce6829f3c1b7bba5b4b242ab9c0
SEP_2001_PIT_ONLY.csv.gz,1810462,17691882,ticker|date|volume|closeunadj,7a8dcf3a36c9b104839f49d4d68ab8822a9dec7d4b7ea552f3c833a3a1dbec04,SHARADAR_SEP_2001.csv(1).gz,23f8a84400e69077ad251563c25ece80632d00fe9cce317ac421b0525a0da140
SEP_2002_PIT_ONLY.csv.gz,1713493,16725742,ticker|date|volume|closeunadj,76c8f71a184645a489534cad9289f41b5cf35ff647cf7941453cf9412171edcb,SHARADAR_SEP_2002.csv(1).gz,21cd434da89cee2b71914e34143ef6480eb47608fe8c5d5fceb8a61482df3071
SEP_2003_PIT_ONLY.csv.gz,1643431,16220513,ticker|date|volume|closeunadj,ec4738df94a80ff10f4dce9f2090e33e7e41024267bb3084a6b022da6235d57d,SHARADAR_SEP_2003.csv(1).gz,5fbbd7fe8418c37d42ff1008fab59b9eb0e83e3e5897d662fb2a88fd89df265c
SEP_2004_PIT_ONLY.csv.gz,1621717,16261389,ticker|date|volume|closeunadj,42b6b4527785fc63300ed64b7b5c4459f7e9eb5a0154868fcbd27a84af41ad64,SHARADAR_SEP_2004.csv(2).gz,377f5e4d531d96a96fa42000edb67c45624fd7ce969b6f7355a13add1590de70
SEP_2005_PIT_ONLY.csv.gz,1611062,16238000,ticker|date|volume|closeunadj,72c90d22339cbe2441f633b1d7727a67ca840154bdbe2ce0543186571bad6660,SHARADAR_SEP_2005.csv(1).gz,78b939b9ce75a2da0e31c1f1b3970a59f77f80ea40329090dd6a965d664eb13f
SEP_2006_PIT_ONLY.csv.gz,1588668,15776269,ticker|date|volume|closeunadj,a5a97cb9c6d232dcd4d0f8580f74538099037fafca33098e901312fd248b1d9a,SHARADAR_SEP_2006.csv(1).gz,fe79c1d3d77c39c5cac0ed622b8a0d79f76f2dd691b94953acc8392eaa78135c
SEP_2007_PIT_ONLY.csv.gz,1562442,15634531,ticker|date|volume|closeunadj,3547b05e132ad2ba435943868a13f81428e6c1b8555765405fe36ce9ac4b797a,SHARADAR_SEP_2007.csv(1).gz,0a69d838ffa7f4759f58a59fdb920058ca2528ffa03cb409feb4cae3c9085cf8
