file,dataset,year,rows,bytes,sha256,columns,source_file,source_sha256
SEP_PRICE_1998_PIT_ONLY.csv.gz,SEP,1998,2035181,25621274,f0fc6ed416fa3552b3dcd528a463f806be01182fa950daf36f453dfad25fdfb5,ticker|date|raw_open|signal_open|signal_close|split_factor_step|effective_split_ratio|dividend_basis,SHARADAR_SEP_1998.csv.gz,cb0549b4e80ab55a11adec465ac5caa6f45159e465e593b7e541f222988119f8
SEP_PRICE_1999_PIT_ONLY.csv.gz,SEP,1999,2007924,25314952,13971e642432e8368af4c20b91c80b43480e4d4c9a000b68c6064a2f53ac9050,ticker|date|raw_open|signal_open|signal_close|split_factor_step|effective_split_ratio|dividend_basis,SHARADAR_SEP_1999.csv.gz,86d2efc937b792353b4ea5b44035d698f62348435b4a02b99f3fb72aa283c6da
SEP_PRICE_2000_PIT_ONLY.csv.gz,SEP,2000,1975696,26084789,b5d7512a6dd2faa7d3d15ec8a78943589979d135f058cdad30036053bdf05ef9,ticker|date|raw_open|signal_open|signal_close|split_factor_step|effective_split_ratio|dividend_basis,SHARADAR_SEP_2000.csv.gz,431fc93957070750b1beae3ebffe2a27c9792ce6829f3c1b7bba5b4b242ab9c0
SEP_PRICE_2001_PIT_ONLY.csv.gz,SEP,2001,1810462,26805092,f1fefbaeb886bbb00c25d06134167e6a0a4bf5b61c2591071075e3de45f67e95,ticker|date|raw_open|signal_open|signal_close|split_factor_step|effective_split_ratio|dividend_basis,SHARADAR_SEP_2001.csv.gz,23f8a84400e69077ad251563c25ece80632d00fe9cce317ac421b0525a0da140
SEP_PRICE_2002_PIT_ONLY.csv.gz,SEP,2002,1713493,26034218,417c9c377ab2feef5d0ecaf8c870d40a9cd3678a1730d211b71f650bc7573865,ticker|date|raw_open|signal_open|signal_close|split_factor_step|effective_split_ratio|dividend_basis,SHARADAR_SEP_2002.csv.gz,21cd434da89cee2b71914e34143ef6480eb47608fe8c5d5fceb8a61482df3071
SEP_PRICE_2003_PIT_ONLY.csv.gz,SEP,2003,1643431,25533449,1b4fd4d67d5be9287293e567d888d8b1c6098dd540c1edc82197392bade719ae,ticker|date|raw_open|signal_open|signal_close|split_factor_step|effective_split_ratio|dividend_basis,SHARADAR_SEP_2003.csv.gz,5fbbd7fe8418c37d42ff1008fab59b9eb0e83e3e5897d662fb2a88fd89df265c
SEP_PRICE_2004_PIT_ONLY.csv.gz,SEP,2004,1621717,25378928,394f52efe2dcbfb03cf01515188a06d746fa0adf42d568450b6a12eee840b909,ticker|date|raw_open|signal_open|signal_close|split_factor_step|effective_split_ratio|dividend_basis,SHARADAR_SEP_2004.csv.gz,377f5e4d531d96a96fa42000edb67c45624fd7ce969b6f7355a13add1590de70
SEP_PRICE_2005_PIT_ONLY.csv.gz,SEP,2005,1611062,24851748,b4c13e181efb3788880ea34961b98adb889965b1c0a8e9ceddf4608762dae124,ticker|date|raw_open|signal_open|signal_close|split_factor_step|effective_split_ratio|dividend_basis,SHARADAR_SEP_2005.csv.gz,78b939b9ce75a2da0e31c1f1b3970a59f77f80ea40329090dd6a965d664eb13f
SEP_PRICE_2006_PIT_ONLY.csv.gz,SEP,2006,1588668,24344131,3d77a84c38629d3cd96d5f45ab76532652c7a7d6621a832bf9e15d932abed98c,ticker|date|raw_open|signal_open|signal_close|split_factor_step|effective_split_ratio|dividend_basis,SHARADAR_SEP_2006.csv.gz,fe79c1d3d77c39c5cac0ed622b8a0d79f76f2dd691b94953acc8392eaa78135c
SEP_PRICE_2007_PIT_ONLY.csv.gz,SEP,2007,1562442,24161946,6f8ca60479b922901b2e59e0257081c3547d7de5906638e004c32444428f3886,ticker|date|raw_open|signal_open|signal_close|split_factor_step|effective_split_ratio|dividend_basis,SHARADAR_SEP_2007.csv.gz,0a69d838ffa7f4759f58a59fdb920058ca2528ffa03cb409feb4cae3c9085cf8
