"ticker","buy_date","current_sec_map_cik","last_error"
"ADVP","2000-11-09","",""
"AEH1","1998-09-02","",""
"AGN1","1998-09-29","",""
"ARMH1","1999-04-23","",""
"AV1","2003-09-29","",""
"AWE","2004-05-14","",""
"AZA.A","2000-06-26","",""
"BBRC1","2000-05-19","",""
"BGEN","1998-10-13","",""
"BGO","2003-12-03","",""
"BUD1","1998-11-04","",""
"BUD1","2008-08-22","",""
"C1","1998-07-07","",""
"CBDBY","2009-12-03","",""
"CELL1","2005-12-22","",""
"CGP","2000-06-23","",""
"CLTZF","1998-07-07","",""
"COCOQ","2000-09-25","",""
"COCOQ","2002-10-15","",""
"CPNLQ","1999-08-31","",""
"CSE1","1999-06-24","",""
"DELL1","1998-07-07","",""
"DSGX","2000-03-28","0001050140",""
"DTGF","2010-08-02","",""
"DTGF","2011-05-20","",""
"ELN","2004-06-03","",""
"EMESQ","2014-05-15","",""
"ESINQ","2008-12-04","",""
"EV1","2013-03-06","",""
"EYE1","1998-10-02","",""
"FALB","2006-06-29","",""
"FRFHF","2008-02-21","0000915191",""
"GELX","2000-10-25","",""
"GEN1","2007-06-29","",""
"GIL","2000-05-17","0001061894",""
"GNET1","1999-04-26","",""
"GOLD1","2011-09-12","",""
"GPRO1","2011-06-03","",""
"GX","1999-04-08","",""
"HLTH1","2003-02-24","",""
"HSAC1","2002-08-05","",""
"IBLTZ","2000-08-07","",""
"IBP1","2001-01-22","",""
"IGT1","2001-01-11","",""
"ILUM","2001-10-11","",""
"INVN1","2002-02-25","",""
"JAVA1","1999-02-24","",""
"JRCCQ","2008-03-11","",""
"KBL","2000-07-28","",""
"KM","1998-07-07","",""
"KMG1","1999-09-03","",""
"LFCHY","2006-06-08","",""
"LHSP","1998-07-07","",""
"LIT1","2001-03-28","",""
"LMLP1","2000-03-29","",""
"LPHIQ","2008-11-04","",""
"LTMAY","2006-12-13","",""
"LU1","1998-07-07","",""
"LVCI","1999-04-14","",""
"MEDX1","2000-02-14","",""
"MFNXQ","1998-07-07","",""
"MFNXQ","1998-10-07","",""
"MGA","2001-08-27","0000749098",""
"MGIC","2000-01-19","",""
"MNMD1","1998-10-12","",""
"MOVIQ","2001-08-24","",""
"NEU1","2000-11-30","",""
"NEWP1","2000-05-04","",""
"NGH","2000-07-25","",""
"NOK","1998-07-07","0000924613",""
"NTLI1","2003-09-08","",""
"NXTL","2002-12-11","",""
"OMPT","1999-11-15","",""
"OPTX1","2000-05-01","",""
"ORTL","2000-03-30","",""
"PHSYB","1998-07-07","",""
"POT","2006-12-08","",""
"PWER1","1999-10-11","",""
"PWER1","2000-05-09","",""
"RNB","1999-08-02","",""
"SAP","1998-07-07","0001000184",""
"SBNY","2021-06-14","",""
"SCIO1","2003-03-18","",""
"SDLI","1999-05-24","",""
"SHLDQ","2004-08-26","",""
"SII1","2000-05-05","",""
"SNDK1","2003-11-13","",""
"SSTI1","2000-04-14","",""
"STEC1","2009-06-30","",""
"SUN1","2004-04-16","",""
"TCF1","2004-09-17","",""
"TELFY","1998-07-07","0000814052",""
"TELFY","2007-12-12","0000814052",""
"TFSIQ","1999-11-30","",""
"THOR1","2008-09-05","",""
"THOR1","2008-12-02","",""
"TOY","2005-05-25","",""
"TSG1","2007-02-27","",""
"UCBHQ","2001-03-01","",""
"UCOMA","1999-05-20","",""
"VOD","1998-07-07","0000839923",""
"VOLT2","2006-07-21","",""
"VRTS1","2000-02-02","",""
"VRTY1","1999-03-08","",""
"VRUS1","2011-09-13","",""
"VSTR1","1999-11-23","",""
"WCOEQ","1998-07-07","",""
"WGHTQ","2017-08-07","",""
"WLA","1998-07-07","",""
