ticker,buy_date,first_positive_common_filing
AGN1,1998-09-29,
ARMH1,1999-04-23,
AV1,2003-09-29,
AWE,2004-05-14,
C1,1998-07-07,
CBDBY,2009-12-03,
CLTZF,1998-07-07,
EMESQ,2014-05-15,
ESINQ,2008-12-04,
FRFHF,2008-02-21,
GEN1,2007-06-29,
GIL,2000-05-17,
GOLD1,2011-09-12,
GX,1999-04-08,
LFCHY,2006-06-08,
LMLP1,2000-03-29,
LTMAY,2006-12-13,
NOK,1998-07-07,
NTLI1,2003-09-08,
OMPT,1999-11-15,
OPTX1,2000-05-01,
PHSYB,1998-07-07,
PWER1,2000-05-09,
SAP,1998-07-07,
SHLDQ,2004-08-26,
SUN1,2004-04-16,
TELFY,1998-07-07,
TELFY,2007-12-12,
TSG1,2007-02-27,
UCOMA,1999-05-20,
VOD,1998-07-07,
VSTR1,1999-11-23,
