gap_ticker,ticker,name,category,isdelisted,exchange,location,currency,permaticker,cusips,siccode,sicsector,sicindustry,famaindustry,sector,industry,relatedtickers,firstadded,firstpricedate,lastpricedate,firstquarter,lastquarter,lastupdated,secfilings,companysite,table,figi,scalemarketcap,scalerevenue
,NCPL,NETCAPITAL INC,Domestic Common Stock Primary Class,N,NASDAQ,Massachusetts; U.S.A,USD,108724,64113L103 64113L202 92046U106,6199,Finance Insurance And Real Estate,Finance Services,Banking,Financial Services,Capital Markets,VSTR,2022-07-08,2013-09-05,2026-08-03,2012-03-31,2025-12-31,2026-03-19,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001414767,https://www.netcapitalinc.com,SF1,BBG000BYGJV9,1 - Nano,1 - Nano
,NCPL,NETCAPITAL INC,Domestic Common Stock Primary Class,N,NASDAQ,Massachusetts; U.S.A,USD,108724,64113L103 64113L202 92046U106,6199,Finance Insurance And Real Estate,Finance Services,Banking,Financial Services,Capital Markets,VSTR,2022-07-08,2013-09-05,2026-08-03,2012-03-31,2025-12-31,2026-08-03,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001414767,https://www.netcapitalinc.com,SEP,BBG000BYGJV9,1 - Nano,1 - Nano
,NCPL,NETCAPITAL INC,Domestic Common Stock Primary Class,N,NASDAQ,Massachusetts; U.S.A,USD,108724,64113L103 64113L202 92046U106,6199,Finance Insurance And Real Estate,Finance Services,Banking,Financial Services,Capital Markets,VSTR,2022-07-08,2013-09-05,2026-08-03,2012-03-31,2025-12-31,2025-12-08,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001414767,https://www.netcapitalinc.com,SF2,BBG000BYGJV9,1 - Nano,1 - Nano
,C-PP,CITIGROUP INC,Domestic Preferred Stock,Y,NYSE,New York; U.S.A,USD,111198,172967572,6021,Finance Insurance And Real Estate,National Commercial Banks,Banking,Financial Services,Banks - Diversified,C-PJ C-PN TRV C-PS C-PK CCI C C-PC C-PL C-PR,2019-03-05,2018-01-03,2018-02-14,,,2022-10-24,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000831001,,SEP,BBG000005MX8,,
,AGN-PA,ALLERGAN PLC,Domestic Preferred Stock,Y,NYSE,Ireland,USD,111532,G0177J116,2834,Manufacturing,Pharmaceutical Preparations,Pharmaceutical Products,Healthcare,Drug Manufacturers - General,WPI AGN ACT,2019-02-24,2015-06-15,2018-02-28,,,2019-02-24,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001578845,,SEP,,,
,C-PL,CITIGROUP INC,Domestic Preferred Stock,Y,NYSE,New York; U.S.A,USD,111686,172967333,6021,Finance Insurance And Real Estate,National Commercial Banks,Banking,Financial Services,Banks - Diversified,C-PJ C-PN TRV C-PS C-PK CCI C C-PP C-PC C-PR,2019-01-14,2014-09-22,2019-02-11,,,2023-11-03,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000831001,,SEP,BBG005Z0XVK2,,
,CCI-PA,CROWN CASTLE INC,Domestic Preferred Stock,Y,NYSE,Texas; U.S.A,USD,113923,22822V309 22822V200 228227500,6798,Finance Insurance And Real Estate,Real Estate Investment Trusts,Trading,Real Estate,REIT - Specialty,CRRWP CCI TWRS,2018-10-18,2017-07-31,2020-07-31,,,2020-07-31,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001051470,,SEP,BBG005GC1RK1 BBG00H6F0J00,,
,C-PS,CITIGROUP INC,Domestic Preferred Stock,Y,NYSE,New York; U.S.A,USD,113928,172967317,6021,Finance Insurance And Real Estate,National Commercial Banks,Banking,Financial Services,Banks - Diversified,C-PJ C-PN TRV C-PK CCI C C-PP C-PC C-PL C-PR,2018-10-18,2016-02-09,2021-02-11,,,2021-02-11,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000831001,,SEP,BBG00C0G7GL1,,
,C-PN,CITIGROUP INC,Domestic Preferred Stock,N,NYSE,New York; U.S.A,USD,113929,173080201,6021,Finance Insurance And Real Estate,National Commercial Banks,Banking,Financial Services,Banks - Diversified,C-PJ TRV C-PS C-PK CCI C C-PP C-PC C-PL C-PR,2018-10-18,2014-09-22,2026-08-03,,,2026-08-03,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000831001,,SEP,BBG0016YYTS5,,
,C-PK,CITIGROUP INC,Domestic Preferred Stock,Y,NYSE,New York; U.S.A,USD,113931,172967341,6021,Finance Insurance And Real Estate,National Commercial Banks,Banking,Financial Services,Banks - Diversified,C-PJ C-PN TRV C-PS CCI C C-PP C-PC C-PL C-PR,2018-10-18,2014-09-22,2023-11-14,,,2023-11-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000831001,,SEP,BBG005H79ZL4,,
