month,annual_yield_percent
1996-12-01,5.04
1997-01-01,5.17
1997-02-01,5.14
1997-03-01,5.28
1997-04-01,5.30
1997-05-01,5.20
1997-06-01,5.07
1997-07-01,5.19
1997-08-01,5.28
1997-09-01,5.08
1997-10-01,5.11
1997-11-01,5.28
1997-12-01,5.30
1998-01-01,5.18
1998-02-01,5.23
1998-03-01,5.16
1998-04-01,5.08
1998-05-01,5.14
1998-06-01,5.12
1998-07-01,5.09
1998-08-01,5.04
1998-09-01,4.74
1998-10-01,4.07
1998-11-01,4.53
1998-12-01,4.50
1999-01-01,4.45
1999-02-01,4.56
1999-03-01,4.57
1999-04-01,4.41
1999-05-01,4.63
1999-06-01,4.72
1999-07-01,4.69
1999-08-01,4.87
1999-09-01,4.82
1999-10-01,5.02
1999-11-01,5.23
1999-12-01,5.36
2000-01-01,5.50
2000-02-01,5.73
2000-03-01,5.86
2000-04-01,5.82
2000-05-01,5.99
2000-06-01,5.86
2000-07-01,6.14
2000-08-01,6.28
2000-09-01,6.18
2000-10-01,6.29
2000-11-01,6.36
2000-12-01,5.94
2001-01-01,5.29
2001-02-01,5.01
2001-03-01,4.54
2001-04-01,3.97
2001-05-01,3.70
2001-06-01,3.57
2001-07-01,3.59
2001-08-01,3.44
2001-09-01,2.69
2001-10-01,2.20
2001-11-01,1.91
2001-12-01,1.72
2002-01-01,1.68
2002-02-01,1.76
2002-03-01,1.83
2002-04-01,1.75
2002-05-01,1.76
2002-06-01,1.73
2002-07-01,1.71
2002-08-01,1.65
2002-09-01,1.66
2002-10-01,1.61
2002-11-01,1.25
2002-12-01,1.21
2003-01-01,1.19
2003-02-01,1.19
2003-03-01,1.15
2003-04-01,1.15
2003-05-01,1.09
2003-06-01,0.94
2003-07-01,0.92
2003-08-01,0.97
2003-09-01,0.96
2003-10-01,0.94
2003-11-01,0.95
2003-12-01,0.91
2004-01-01,0.90
2004-02-01,0.94
2004-03-01,0.95
2004-04-01,0.96
2004-05-01,1.04
2004-06-01,1.29
2004-07-01,1.36
2004-08-01,1.50
2004-09-01,1.68
2004-10-01,1.79
2004-11-01,2.11
2004-12-01,2.22
2005-01-01,2.37
2005-02-01,2.58
2005-03-01,2.80
2005-04-01,2.84
2005-05-01,2.90
2005-06-01,3.04
2005-07-01,3.29
2005-08-01,3.52
2005-09-01,3.49
2005-10-01,3.79
2005-11-01,3.97
2005-12-01,3.97
2006-01-01,4.34
2006-02-01,4.54
2006-03-01,4.63
2006-04-01,4.72
2006-05-01,4.84
2006-06-01,4.92
2006-07-01,5.08
2006-08-01,5.09
2006-09-01,4.93
2006-10-01,5.05
2006-11-01,5.07
2006-12-01,4.97
2007-01-01,5.11
2007-02-01,5.16
2007-03-01,5.08
2007-04-01,5.01
2007-05-01,4.87
