security_id,ticker,classification,disposition,label,category,unknown_first_session,unknown_last_session,unknown_sessions,inferred_observations,metadata_firstpricedate,metadata_lastpricedate,vendor_permaticker,figi,cusips,stage1_status,known_path_class,v4_class,reason
1000699592357318969,AONEQ,common,INFERRED_COMMON,BEST_EFFORT_NOT_PIT_CERTIFIED,Domestic Common Stock,2010-03-29,2011-05-20,157,157,2009-09-25,2013-07-08,195651,,03739T108,UNRESOLVED,unknown,unknown,unique SEP row; category unambiguous; interval covered; no admitted conflict
1000817194050186660,DB,common,INFERRED_COMMON,BEST_EFFORT_NOT_PIT_CERTIFIED,ADR Common Stock Primary Class,2009-07-06,2026-03-17,4168,4168,1996-11-18,2026-08-03,166505,BBG000BR1W32,D18190898,UNRESOLVED,common,unknown,unique SEP row; category unambiguous; interval covered; no admitted conflict
1001469623216439292,CNH1,common,INFERRED_COMMON,BEST_EFFORT_NOT_PIT_CERTIFIED,ADR Common Stock,2007-02-26,2013-05-14,700,700,1996-11-01,2013-09-26,190665,,N20935206 N62648105 N20935107,UNRESOLVED,unknown,unknown,unique SEP row; category unambiguous; interval covered; no admitted conflict
1001634523728995283,SNPTY,common,INFERRED_COMMON,BEST_EFFORT_NOT_PIT_CERTIFIED,ADR Common Stock,2006-10-30,2022-09-08,1210,1210,2000-10-18,2022-09-08,166000,BBG00Y9303D8,16941R108,UNRESOLVED,unknown,unknown,unique SEP row; category unambiguous; interval covered; no admitted conflict
1001740883460781372,SATA,non_common,INFERRED_NON_COMMON,BEST_EFFORT_NOT_PIT_CERTIFIED,Domestic Preferred Stock,2026-05-15,2026-07-24,48,48,2025-11-06,2026-08-03,645691,BBG01YBNK0T7,862945201,UNRESOLVED,unknown,unknown,unique SEP row; category unambiguous; interval covered; no admitted conflict
1003083053231690499,ATAC1,common,INFERRED_COMMON,BEST_EFFORT_NOT_PIT_CERTIFIED,Domestic Common Stock,2010-07-21,2010-08-13,17,17,1996-12-18,2010-10-22,187191,,00211W104 008318107,UNRESOLVED,unknown,unknown,unique SEP row; category unambiguous; interval covered; no admitted conflict
1003177498035952999,LYG,common,INFERRED_COMMON,BEST_EFFORT_NOT_PIT_CERTIFIED,ADR Common Stock Primary Class,2008-01-15,2026-07-31,1640,1640,2001-11-28,2026-08-03,121536,BBG000C3VPQ1,539439109,UNRESOLVED,unknown,unknown,unique SEP row; category unambiguous; interval covered; no admitted conflict
1003696564907692772,GOOS,common,INFERRED_COMMON,BEST_EFFORT_NOT_PIT_CERTIFIED,ADR Common Stock,2017-11-14,2025-09-23,1379,1379,2017-03-16,2026-08-03,124119,BBG00G41B914,135086106,UNRESOLVED,unknown,unknown,unique SEP row; category unambiguous; interval covered; no admitted conflict
1004199661649856090,GRML,common,INFERRED_COMMON,BEST_EFFORT_NOT_PIT_CERTIFIED,Domestic Common Stock Primary Class,2025-06-09,2025-07-11,19,19,2022-03-31,2026-08-03,638383,BBG015Z249H2,758083109 49876K103 03465T108,UNRESOLVED,unknown,unknown,unique SEP row; category unambiguous; interval covered; no admitted conflict
1004576637256796388,NEE-PP1,non_common,INFERRED_NON_COMMON,BEST_EFFORT_NOT_PIT_CERTIFIED,Domestic Preferred Stock,2016-02-24,2016-07-13,8,8,2014-09-22,2016-08-31,111339,BBG0059KMD74,65339F861,UNRESOLVED,unknown,unknown,unique SEP row; category unambiguous; interval covered; no admitted conflict
1005418764309241651,MBAI,common,INFERRED_COMMON,BEST_EFFORT_NOT_PIT_CERTIFIED,ADR Common Stock Primary Class,2021-01-04,2026-01-28,47,47,2015-03-04,2026-08-03,165639,BBG0089RJVS4,M2361E203 M2361E179 M2361E112 M2361E146,UNRESOLVED,unknown,unknown,unique SEP row; category unambiguous; interval covered; no admitted conflict
1007376678094268707,NTI,common,INFERRED_COMMON,BEST_EFFORT_NOT_PIT_CERTIFIED,Domestic Common Stock,2013-01-29,2016-05-23,292,292,2012-07-26,2016-06-23,192134,,665826103,UNRESOLVED,unknown,unknown,unique SEP row; category unambiguous; interval covered; no admitted conflict
1008312226617164966,LSCP1,common,INFERRED_COMMON,BEST_EFFORT_NOT_PIT_CERTIFIED,Domestic Common Stock,2006-07-05,2006-07-06,2,2,1989-11-30,2006-07-25,169808,,518081104,UNRESOLVED,unknown,unknown,unique SEP row; category unambiguous; interval covered; no admitted conflict
1009138292528801099,TRTN-PD,non_common,INFERRED_NON_COMMON,BEST_EFFORT_NOT_PIT_CERTIFIED,Domestic Preferred Stock,2024-12-20,2024-12-31,4,4,2020-01-29,2026-08-03,110156,,G9078F206,UNRESOLVED,unknown,unknown,unique SEP row; category unambiguous; interval covered; no admitted conflict
1009617059904197243,PLSB1,common,INFERRED_COMMON,BEST_EFFORT_NOT_PIT_CERTIFIED,Domestic Common Stock,2007-01-23,2007-02-07,11,11,2004-08-11,2007-06-01,179452,,726079106,UNRESOLVED,unknown,unknown,unique SEP row; category unambiguous; interval covered; no admitted conflict
1010636880544461391,IHS2,common,INFERRED_COMMON,BEST_EFFORT_NOT_PIT_CERTIFIED,Domestic Common Stock,2007-07-10,2016-07-12,1384,1384,2005-11-14,2016-07-12,194920,,451734107,UNRESOLVED,unknown,unknown,unique SEP row; category unambiguous; interval covered; no admitted conflict
1010834858905861612,PX1,common,INFERRED_COMMON,BEST_EFFORT_NOT_PIT_CERTIFIED,Domestic Common Stock,2006-07-05,2018-10-30,3104,3104,1992-06-17,2018-10-30,197821,BBG00Q6TSYP0,74005P104,UNRESOLVED,unknown,unknown,unique SEP row; category unambiguous; interval covered; no admitted conflict
