security_id,ticker,classification,unknown_first_session,unknown_last_session,evidence_date,evidence_kind,evidence_url,evidence_summary,review_disposition
734347851745471872,AB,non_common,2006-10-12,2026-03-04,2017-12-31,SEC_10K,https://www.sec.gov/Archives/edgar/data/825313/000082531318000011/ab-20171231x10k.htm,Units represent assignments of beneficial ownership of limited partnership interests,REVIEWED_EXCLUDE
1019479234403084594,BEP,non_common,2020-02-27,2026-07-31,2013-06-01,CONTEMPORANEOUS_NEWS,https://www.rttnews.com/2137499/brookfield-renewable-energy-begins-offering-provides-q2-preliminary-outlook.aspx,The United States listing is described as limited partnership units,REVIEWED_EXCLUDE
450075566409889078,BIP,non_common,2013-05-08,2026-07-31,2008-01-03,REUTERS,https://www.reuters.com/article/business/brookfield-asset-sets-date-for-infrastructure-spinoff-idUSN03221011/,Brookfield Infrastructure Partners began NYSE trading under BIP with distributions per unit,REVIEWED_EXCLUDE
232112979474058723,BPY,non_common,2014-03-31,2021-07-26,2017-07-10,WAYBACK_ISSUER,https://web.archive.org/web/20170710175217id_/https://bpy.brookfield.com/en/resources/faqs,Issuer FAQ identifies NYSE BPY as limited partnership units,REVIEWED_EXCLUDE
241773249272800956,EMESQ,non_common,2014-04-24,2016-07-07,2014-10-14,WAYBACK_ISSUER,https://web.archive.org/web/20141014020932id_/http://emergelp.com:80/emerge/2013/05/08/emerge-energy-services-lp-prices-initial-public-offering-of-common-units/,Issuer page identifies the offering as common units,REVIEWED_EXCLUDE
1148177820383038150,EPD,non_common,2006-07-05,2026-07-31,2017-05-03,WAYBACK_ISSUER,https://web.archive.org/web/20170503191048id_/http://www.enterpriseproducts.com/investors,Issuer investor page identifies NYSE EPD as a common unit,REVIEWED_EXCLUDE
228207928463147707,ETP,non_common,2013-03-15,2018-10-18,2012-04-30,REUTERS,https://www.reuters.com/article/business/fitch-affirms-energy-transfer-partners-idUSWNA6213/,Reuters identifies Energy Transfer Partners LP and its ETP common units,REVIEWED_EXCLUDE
161168179129897137,LB,non_common,2024-12-27,2026-07-29,2024-06-17,ISSUER_IPO,https://www.landbridgeco.com/investor-relations/news/news-details/2024/Landbridge-Announces-Launch-of-Initial-Public-Offering/default.aspx,Class A shares represent limited liability company interests,REVIEWED_EXCLUDE
607033349837235157,MMP,non_common,2010-05-24,2023-09-22,2020-12-31,SEC_PROXY,https://www.sec.gov/Archives/edgar/data/1126975/000119312521047374/d134812ddef14a.htm,Issuer is Magellan Midstream Partners LP and NYSE securities are common units,REVIEWED_EXCLUDE
804009952146469650,PCG,common,2006-08-25,2023-02-17,2006-09-01,ISSUER_DIVIDEND_HISTORY,https://investor.pgecorp.com/shareholders/Dividend-History/default.aspx,Issuer identifies PG&E Corporation Common Stock and preserves 2006 dividend history,REVIEWED_INCLUDE
594891209465982980,PDS,common,2006-07-05,2015-06-04,2020-10-29,ISSUER_CORPORATE_ACTION,https://www.precisiondrilling.com/press-releases/precision-drilling-announces-share-consolidation/,Issuer identifies NYSE PDS as common shares,REVIEWED_INCLUDE
1093865446405037869,RTLR,non_common,2022-05-25,2022-06-14,2022-01-15,WAYBACK_ISSUER,https://web.archive.org/web/20220115011920id_/https://www.rattlermidstream.com/investor-relations/,Issuer investor page identifies RTLR investors as holders of common units,REVIEWED_EXCLUDE
982072475162188385,SHLX,non_common,2015-06-19,2022-10-18,2014-06-18,SEC_S1,https://www.sec.gov/Archives/edgar/data/1610466/000119312514239394/d738367ds1.htm,IPO offered common units representing limited partner interests,REVIEWED_EXCLUDE
711458655922744689,TFC,common,2006-07-05,2019-12-10,2019-04-30,ISSUER_DIVIDEND_DECLARATION,https://media.truist.com/2019-04-30-BB-T-announces-second-quarter-dividends,BB&T announcement separately identifies common shares and preferred shares,REVIEWED_INCLUDE
900676606992458222,TRP,common,2008-10-09,2026-07-31,2011-08-04,WAYBACK_ISSUER,https://web.archive.org/web/20110804194837id_/http://www.transcanada.com:80/annualmeeting.html,Issuer identifies holders of common shares and NYSE ticker TRP,REVIEWED_INCLUDE
820488167476030287,USAC,non_common,2023-12-15,2024-01-16,2013-01-07,CONTEMPORANEOUS_NEWS,https://www.forbes.com/sites/marketnewsvideo/2013/01/07/usa-compression-partners-announces-ipo/,IPO offered common units representing limited partner interests,REVIEWED_EXCLUDE
1092594788232214414,WES,non_common,2014-07-01,2026-07-31,2024-08-15,WAYBACK_ISSUER,https://web.archive.org/web/20240815152344id_/https://www.westernmidstream.com/investors/,Issuer investor page identifies WES offerings as common units,REVIEWED_EXCLUDE
648373417461465308,WPZ,non_common,2012-02-10,2018-08-09,2013-07-04,WAYBACK_ISSUER,https://web.archive.org/web/20130704192355id_/http://www.williamslp.com/profiles/investor/ResLibraryView.asp?ResLibraryID=56168&GoTopage=1&Category=1800&BzID=1296&G=345,Issuer archive identifies WPZ earnings and distributions per common unit,REVIEWED_EXCLUDE
