ticker,session,stated,derived
ENZB,1998-01-07,1.05,1.0
OATS,1998-01-08,1.5,1.0
EPAC,1998-02-03,2.0,1.000002867317914
ALBC,1998-02-05,3.0,1.0
CB,1998-03-03,3.0,1.0
DAYR,1998-03-18,2.0,10.0
AZN,1998-04-08,0.33333,3.000021476279449
CCIL,1998-04-15,1.5,1.0
NSFC,1998-04-23,5.0,1.0
MADB,1998-06-01,1.2,1.0
MNRO,1998-06-04,1.05,1.0001233772923965
OFISQ,1998-06-10,0.25,1.0
ICIX,1998-06-16,2.0,1.0
CIBN,1998-06-26,1.5,1.0
CIBN1,1998-09-01,1.05,1.0
BNI,1998-09-02,3.0,1.0
CVAL,1998-09-02,1.05,1.0
FCEC,1998-11-25,2.0,1.0
FBMI,1998-12-16,1.05,1.0
KMI1,1999-01-04,1.5,1.0
SMRL,1999-01-15,0.25,1.0
NSDB,1999-01-29,1.1,1.0
WIDE,1999-01-29,0.25,1.0
MODM,1999-03-12,0.5,1.0
TVLI,1999-03-26,0.33333,1.0
WTR1,1999-03-29,1.5,1.0
USB,1999-04-16,3.0,1.0
VNGD,1999-05-20,0.2,1.0
BMAN,1999-07-15,0.33333,1.0
MCLDQ,1999-07-27,2.0,1.0
CRSC,1999-07-30,0.33333,1.0
SSC1,1999-08-06,0.125,1.0
BZBC,1999-08-30,1.25,1.0
MADB,1999-09-02,1.1,1.0
OSFT,1999-10-13,0.16667,1.0
SUMM1,1999-11-10,1.05,1.0
OATS,1999-12-02,1.5,1.0
ABCB,1999-12-13,1.2,1.000064956462201
GDW,1999-12-13,3.0,1.0
FBMI,1999-12-14,1.05,1.0
HBEK,2000-01-26,1.1,1.0
NBAN,2000-02-28,1.05,1.0
ALLR1,2000-03-15,2.0,1.0
CFCP,2000-03-24,1.1,1.0
CRGN,2000-03-31,2.0,1.0
MCLDQ,2000-04-25,3.0,1.0
NSDB,2000-04-27,1.05,1.0
SWIM1,2000-05-12,1.1,1.0
MDBS1,2000-05-15,1.05,1.0
TMAV1,2000-08-08,1.25,1.0
FBMT,2000-08-29,1.05,1.0
UTI1,2000-10-03,2.0,1.0
AZA.A,2000-11-10,2.0,1.0
SWIM1,2000-11-15,1.1,1.0
DLI,2000-11-28,1.05,1.0
FBMI,2000-12-11,1.05,1.0
MDBS1,2000-12-20,1.05,1.0
ENZB,2001-02-23,1.05,1.0
MDBS1,2001-05-15,1.05,1.0
SWIM1,2001-05-15,1.1,1.0
DEAR,2001-05-29,1.05,1.0
PFI1,2001-07-02,1.1,1.0
FBMT,2001-08-29,1.05,1.0
CLBH,2001-09-27,1.1,1.0
SWIM1,2001-11-14,1.1,1.0
IDPIQ,2001-11-19,0.14286,1.0
TEUM,2002-01-22,0.1,1.0
ENZB,2002-01-31,1.05,1.0
NBAN,2002-02-28,1.05,1.0
SWIM1,2002-05-14,1.1,1.0
CBN,2002-05-29,1.1,1.0
SWIM1,2002-11-13,1.1,1.0
MPQI,2002-11-15,0.333,1.0
SUMM1,2002-11-20,1.05,1.0
FBGI1,2002-11-29,1.5,1.0
MDBS1,2002-12-23,1.05,1.0
SSLI,2003-04-02,1.05,1.0
NREB,2003-05-07,1.05,1.0
NCRI,2003-06-16,1.9,0.5263530601922105
ONSM,2003-06-24,0.16667,0.06666666666666667
ENZB,2003-06-26,1.05,1.0
SAMB,2003-07-15,0.2,1.0
PNOT,2003-07-30,0.1667,1.0
CRRSQ,2003-08-11,0.125,1.0
FBMT,2003-09-04,1.05,1.0
SEM2,2003-12-23,2.0,1.0
FNSCQ,2004-03-01,1.5,1.0
AQQSQ,2004-03-02,0.25,1.0
NIHDQ,2004-03-23,3.0,1.0
NSDB,2004-04-29,1.05,1.0
ENZB,2004-10-21,1.05,1.0
GDW,2004-12-13,2.0,1.0
NCOC,2005-01-13,0.25,1.0
FSNMQ,2005-02-09,2.0,1.0
FCEC,2005-04-28,1.1,1.0
ABEV,2005-06-09,1.2,1.0000000000000002
AAWW,2006-04-03,6.0,1.0
SIM,2006-05-30,3.0,1.0
MBCRQ,2006-06-20,3.0,1.0
SCEIQ,2007-08-21,3.0,1.0
ETELY,2007-09-04,0.5,2.0
LGVN1,2008-03-12,0.4,1.0
MTL,2008-05-20,0.5,3.0000088894420096
ZTNO,2008-08-07,0.2,1.0
PRTK,2009-02-06,0.2,2.4
OPMR,2009-08-27,0.2,1.0
ULCM,2009-11-18,0.25,1.0
SCEIQ,2010-05-07,0.1,1.0
AQQSQ,2010-05-10,2.0,1.0
UBNK1,2011-03-04,1.5167,1.0
GEVA,2011-11-04,0.2,1.0
STB,2013-05-20,1.1,1.0
MCBF,2013-05-28,0.2,1.0
ESNC,2013-10-31,0.2,1.0
ABV,2013-11-11,5.0,1.0
MHGVY,2014-05-01,0.1,1.0
NEOM,2014-05-29,0.06667,0.07142857142857142
TBRA,2015-05-05,0.11111,1.0
CPGI,2015-05-19,0.2,1.0
MTL,2016-01-12,3.0,0.5
PTIX,2016-07-27,6e-05,6.500260010400415e-05
PRPO,2017-06-06,0.03333,0.0022222222222222227
BKJ,2017-07-13,1.05,0.9999974262453847
ACER,2017-09-21,0.09662,0.09996041171813144
GOLLQ,2017-11-22,2.0,2.5000000000000004
SQNS,2019-11-29,0.4,0.25
NWG,2022-08-30,0.92857,1.0
GHI,2022-12-29,1.0105,1.0000495108768745
