window_years,variant,start,end,sessions,elapsed_years,cagr,max_drawdown,sharpe,ending_multiple
5,LD_RC,2021-07-30,2026-07-31,1256,5.002156101768003,0.13691781157451866,-0.20823400406818104,0.8238612634688827,1.9000521004434252
5,SPY,2021-07-30,2026-07-31,1256,5.002156101768003,0.1275588366954017,-0.2449730210824943,0.78782853401923,1.8230915657946114
10,LD_RC,2016-07-29,2026-07-31,2515,10.004312203536006,0.12477555310021171,-0.20823400406818093,0.8463428094334168,3.2424918314189366
10,SPY,2016-07-29,2026-07-31,2515,10.004312203536006,0.1498307955898699,-0.33700067485140295,0.8704054911994901,4.042042042042041
15,LD_RC,2011-07-29,2026-07-31,3773,15.00646830530401,0.12732190982921843,-0.20823400406818104,0.899467139725524,6.0402634054000925
15,SPY,2011-07-29,2026-07-31,3773,15.00646830530401,0.14397255004731968,-0.33700067485140295,0.8709781691056417,7.5268264667654075
20,LD_RC,2006-07-31,2026-07-31,5032,20.000410686051048,0.12124758744146469,-0.2197596395703144,0.8655721007971564,9.863949577934338
20,SPY,2006-07-31,2026-07-31,5032,20.000410686051048,0.11256316445674552,-0.55201855645911,0.6473414847918665,8.443306659433066
Max,LD_RC,1998-07-06,2026-07-31,7062,28.06902263564618,0.12263263039941563,-0.33616706824338616,0.8310256813186314,25.711182493851478
Max,SPY,1998-07-06,2026-07-31,7062,28.06902263564618,0.08725812854712878,-0.5520185564591099,0.5286976659985295,10.467002942412778
