window_years,variant,start,end,cagr,mdd,sharpe,multiple,sessions
5.0,current,2020-12-31,2025-12-31,0.19763026536373296,-0.21872357834080636,1.0562775413928376,2.46358893112862,1256
5.0,recommended_0.10,2020-12-31,2025-12-31,0.1987545314180481,-0.2187235783408057,1.061163666135718,2.47517268465688,1256
5.0,aggressive_not_recommended,2020-12-31,2025-12-31,0.20533599853164697,-0.20958220932674687,1.0420334793149784,2.5438614134719515,1256
10.0,current,2015-12-31,2025-12-31,0.23865917911785672,-0.21872357834080636,1.2834103896777733,8.504809441035153,2515
10.0,recommended_0.10,2015-12-31,2025-12-31,0.23924027439678275,-0.2187235783408058,1.2859449449612623,8.544798911325824,2515
10.0,aggressive_not_recommended,2015-12-31,2025-12-31,0.24281164708305325,-0.20958220932674698,1.2677820593994416,8.794309953058386,2515
15.0,current,2010-12-31,2025-12-31,0.21302932420482268,-0.21872357834080636,1.2269047827762425,18.119772401172344,3773
15.0,recommended_0.10,2010-12-31,2025-12-31,0.21308223255854042,-0.2187235783408058,1.2270718106201406,18.131631680333232,3773
15.0,aggressive_not_recommended,2010-12-31,2025-12-31,0.21619436436727146,-0.20958220932674698,1.2169513221571076,18.84209392124231,3773
20.0,current,2006-07-31,2025-12-31,0.2126382261669637,-0.21872357834080636,1.2041268285330804,42.27258613951208,4887
20.0,recommended_0.10,2006-07-31,2025-12-31,0.21789829440675668,-0.2187235783408058,1.2244242986194667,45.979459409282484,4887
20.0,aggressive_not_recommended,2006-07-31,2025-12-31,0.22031110623909167,-0.20958220932674698,1.217250435029556,47.78109923649887,4887
19.4,current,2006-07-31,2025-12-31,0.2126382261669637,-0.21872357834080636,1.2041268285330804,42.27258613951208,4887
19.4,recommended_0.10,2006-07-31,2025-12-31,0.21789829440675668,-0.2187235783408058,1.2244242986194667,45.979459409282484,4887
19.4,aggressive_not_recommended,2006-07-31,2025-12-31,0.22031110623909167,-0.20958220932674698,1.217250435029556,47.78109923649887,4887
