date,prev_date,n_positions,prev_equity_cert,prev_equity_recon,prev_rel_error,open_equity_preorders,wc_overnight
2007-10-02,2007-10-01,25,740406481.8573326,740406481.8573325,-1.1102230246251565e-16,741808436.0114894,0.0018934925456621787
2007-10-16,2007-10-15,24,764522649.0792124,764522649.0792124,0.0,764121427.0113559,-0.0005248007607620009
2011-09-26,2011-09-23,24,1137166210.983251,1137166210.983251,0.0,1143987110.4952989,0.005998155279473227
2011-09-27,2011-09-26,25,1144883211.0016117,1144883211.001611,-6.661338147750939e-16,1166809711.5280156,0.01915173557940575
2011-11-07,2011-11-04,22,1134086327.4161274,1134086327.4161272,-2.220446049250313e-16,1138272799.868227,0.003691493628741549
2011-11-08,2011-11-07,22,1147537009.1861272,1147537009.1861274,2.220446049250313e-16,1151633853.3531063,0.0035701194246315904
2011-11-09,2011-11-08,22,1151103464.2461274,1151103464.2461274,0.0,1129846233.5676088,-0.018466828863589746
2011-11-10,2011-11-09,22,1127655890.526127,1127655890.5261273,2.220446049250313e-16,1138701468.8392806,0.009795167485002976
2011-11-11,2011-11-10,22,1118749510.9161274,1118749510.9161274,0.0,1127710594.480524,0.008009910598359538
2011-12-12,2011-12-09,24,1193151980.2544174,1193151980.2544174,0.0,1184516432.067741,-0.007237592804258841
2011-12-13,2011-12-12,24,1182982133.5444171,1182982133.5444174,2.220446049250313e-16,1187808834.837404,0.004080113432081367
2011-12-14,2011-12-13,24,1164405345.2444172,1164405345.2444172,0.0,1157575394.9966857,-0.005865612242013318
2012-01-24,2012-01-23,24,1225177382.4438474,1225177382.4438474,0.0,1220820620.2480676,-0.003556025648375427
2015-12-16,2015-12-15,24,2113178407.6682303,2113178407.6682303,0.0,2124656597.5722058,0.005431718335907609
2015-12-17,2015-12-16,24,2135437062.35823,2135437062.3582306,2.220446049250313e-16,2143645544.5092125,0.003843935415224875
2016-03-15,2016-03-14,25,1941451171.8360431,1941451171.8360431,0.0,1936311764.398337,-0.002647198916079785
2016-03-16,2016-03-15,25,1943565157.4660432,1943565157.4660435,2.220446049250313e-16,1938026869.0552623,-0.0028495511917910887
2016-03-17,2016-03-16,25,1954203421.8860435,1954203421.886043,-2.220446049250313e-16,1952255446.9088576,-0.0009968127961346163
2016-03-18,2016-03-17,24,1970475210.425043,1970475210.4250433,2.220446049250313e-16,1969964158.8740432,-0.00025935446855462896
2016-03-21,2016-03-18,24,1963597366.9650428,1963597366.9650426,-1.1102230246251565e-16,1959986624.886529,-0.0018388403545757104
2016-04-01,2016-03-31,24,1969529407.1850436,1969529407.185043,-2.220446049250313e-16,1962059565.1183794,-0.0037927040030036885
2016-04-04,2016-04-01,23,1985202657.1983423,1985202657.198343,4.440892098500626e-16,1987226350.1936154,0.0010193886190588142
2016-04-05,2016-04-04,23,1971121797.818343,1971121797.818343,0.0,1961554731.272775,-0.004853615112042742
2016-04-07,2016-04-06,23,1966958450.778343,1966958450.778343,0.0,1961285392.179196,-0.002884178156840167
2019-02-11,2019-02-08,25,2619066119.7298,2619066119.7298,0.0,2617587655.420432,-0.0005645005669122627
2019-02-26,2019-02-25,25,2667027718.22863,2667027718.2286296,-2.220446049250313e-16,2660882908.8433332,-0.0023039915720778348
2020-05-06,2020-05-05,19,2584360668.887661,2584360668.8876615,2.220446049250313e-16,2614965184.3776617,0.011842199836284095
2020-05-20,2020-05-19,25,2935665175.329331,2935665175.329331,0.0,2977749137.0323315,0.014335409247847597
2022-08-17,2022-08-16,22,4887911714.9221945,4887911714.922194,-2.220446049250313e-16,4867225732.887196,-0.004232069489276347
2022-08-18,2022-08-17,22,4917433462.262195,4917433462.262195,0.0,4935831874.342195,0.003741466401364635
2022-08-19,2022-08-18,22,4961265828.052196,4961265828.052195,-2.220446049250313e-16,4937924890.1321945,-0.004704633601373631
2022-08-22,2022-08-19,22,4948102846.947193,4948102846.947195,4.440892098500626e-16,4926584820.877195,-0.004348742686962059
2022-08-23,2022-08-22,22,4941015115.817195,4941015115.817195,0.0,4958790333.407195,0.0035974829409239906
2022-08-29,2022-08-26,22,4963444498.207195,4963444498.207195,0.0,4927885445.867195,-0.0071641885696202
2022-10-31,2022-10-28,20,4949886686.534346,4949886686.534345,-2.220446049250313e-16,4924218961.754344,-0.00518551765029851
2022-11-01,2022-10-31,20,4948207419.774344,4948207419.774344,0.0,4960916133.034345,0.0025683469147257387
2022-11-02,2022-11-01,20,4975000138.874344,4975000138.874344,0.0,4969846066.524344,-0.0010359944132917187
2022-11-03,2022-11-02,21,4899386463.300585,4899386463.300584,-2.220446049250313e-16,4887734737.920585,-0.0023782009170492113
