crisis,strategy,return_,max_dd
GFC,Sentinel 1.0x,0.053598044712292126,-0.21248423168838837
GFC,Frozen challenger,0.05359804471229368,-0.21248423168838804
2011,Sentinel 1.0x,-0.11212759086328539,-0.23925591713899663
2011,Frozen challenger,-0.11076736286355737,-0.1982416338840115
Q4_2018,Sentinel 1.0x,-0.04955716851595371,-0.07990432991287988
Q4_2018,Frozen challenger,-0.049557168515954375,-0.07990432991287988
COVID,Sentinel 1.0x,0.18142333523996212,-0.13760862046395972
COVID,Frozen challenger,0.18142333523996257,-0.1376086204639596
2022,Sentinel 1.0x,-0.06513819130794463,-0.15635891411042124
2022,Frozen challenger,-0.08105155054429614,-0.14224917157670758
