ticker,qty,mark,market_value,portfolio_weight,entry_day,episode
CRS,2272196.0,519.66,1180769373.36,0.06795179890836173,6709,679
ATEX,11003768.0,93.02,1023570499.36,0.058905200549977554,7160,719
ESLT,933105.0,808.65,754555358.25,0.0434237160328161,6846,691
AHR,13428465.0,55.6,746622654.0,0.04296719883635324,6734,684
SYRE,7242886.0,98.33,712192980.38,0.04098581423145846,7180,722
MCK,791289.0,856.19,677493728.9100001,0.038988915758854506,6068,606
KGS,11080081.0,58.71,650511555.51,0.037436125466055854,7145,718
WELL,2709225.0,234.44,635150709.0,0.036552127983855334,6733,683
APH,3762090.0,160.7,604567863.0,0.03479212349159468,6962,705
ATEN,19851027.0,29.57,586994868.39,0.03378081965623311,7175,720
INDV,14485386.0,40.01,579560293.86,0.03335296920141126,7010,710
CAH,2427163.0,230.03,558320304.89,0.03213063443234605,6283,645
LLYVK,4870530.0,98.6,480234258.0,0.027636880211130806,6781,687
VTR,5005837.0,93.51,468095817.87,0.026938328181086352,6719,682
CNP,10264692.0,42.04,431527651.68,0.024833876006552492,6882,701
NFG,4797372.0,82.31,394871689.32,0.022724371272371202,6883,702
CVX,1347944.0,196.83,265315817.52,0.015268593076753139,6075,608
AFL,778670.0,127.48,99264851.60000001,0.005712567912730783,6735,685
GOOG,202708.0,356.65,72295808.19999999,0.004160533234991094,7035,715
GOOGL,2258.0,356.13,804141.54,4.627733870200958e-05,7037,716
