security_id,ticker,first_touch_session,last_touch_session,required_lookback_sessions,base_candidate_sessions,known_common_base_sessions,known_non_common_base_sessions,unknown_type_base_sessions,eligible_sessions,momentum_pool_sessions,durable_ranked_sessions,recent_leadership_sessions,pending_sessions,held_sessions,terminal_sessions,incomplete_terminal_sessions,best_durable_rank,potential_displacer,required_for_strategy_certificate,authority_requirements,touch_reasons
1001693589741325419,PCAR,2006-07-05,2006-08-02,126,21,21,0,0,21,0,0,0,0,0,0,0,,False,True,corporate_actions;identity;price_volume;security_type,BASE_CANDIDATE;ELIGIBLE_RANKING_INPUT
1001948357865928064,SCHW,2006-07-05,2006-08-02,126,21,21,0,0,21,0,0,0,0,0,0,0,,False,True,corporate_actions;identity;price_volume;security_type,BASE_CANDIDATE;ELIGIBLE_RANKING_INPUT
1002169751086026237,TRZ,2006-07-05,2006-08-02,126,21,21,0,0,21,12,12,0,0,0,0,0,30,False,True,corporate_actions;identity;price_volume;security_type,BASE_CANDIDATE;DURABLE_RANK;ELIGIBLE_RANKING_INPUT;ESTABLISHED_LEADERSHIP_POOL
1002176742247017969,BLK,2006-07-05,2006-08-02,126,14,14,0,0,14,0,0,0,0,0,0,0,,False,True,corporate_actions;identity;price_volume;security_type,BASE_CANDIDATE;ELIGIBLE_RANKING_INPUT
1002501600623515483,GR,2006-07-05,2006-08-02,126,21,21,0,0,21,0,0,0,0,0,0,0,,False,True,corporate_actions;identity;price_volume;security_type,BASE_CANDIDATE;ELIGIBLE_RANKING_INPUT
100663615482791231,RT,2006-07-05,2006-08-02,126,21,21,0,0,21,0,0,0,0,0,0,0,,False,True,corporate_actions;identity;price_volume;security_type,BASE_CANDIDATE;ELIGIBLE_RANKING_INPUT
1008040051928288937,JBLU,2006-07-05,2006-08-02,126,21,21,0,0,21,0,0,4,0,0,0,0,,False,True,corporate_actions;identity;price_volume;security_type,BASE_CANDIDATE;ELIGIBLE_RANKING_INPUT;RECENT_LEADERSHIP
1008160681311380672,RBAK,2006-07-05,2006-08-02,126,21,21,0,0,21,16,16,0,0,0,0,0,63,False,True,corporate_actions;identity;price_volume;security_type,BASE_CANDIDATE;DURABLE_RANK;ELIGIBLE_RANKING_INPUT;ESTABLISHED_LEADERSHIP_POOL
1008312226617164966,LSCP1,2006-07-05,2006-07-06,126,2,2,0,0,2,2,2,0,0,0,0,0,109,False,True,corporate_actions;identity;price_volume;security_type,BASE_CANDIDATE;DURABLE_RANK;ELIGIBLE_RANKING_INPUT;ESTABLISHED_LEADERSHIP_POOL
1008829319482477659,TRN,2006-07-05,2006-08-02,126,21,21,0,0,21,0,0,1,0,0,0,0,,False,True,corporate_actions;identity;price_volume;security_type,BASE_CANDIDATE;ELIGIBLE_RANKING_INPUT;RECENT_LEADERSHIP
1009374263894819222,ETFC,2006-07-05,2006-08-02,126,21,21,0,0,21,0,0,0,0,0,0,0,,False,True,corporate_actions;identity;price_volume;security_type,BASE_CANDIDATE;ELIGIBLE_RANKING_INPUT
1009973756845825369,EDS,2006-07-05,2006-08-02,126,21,21,0,0,21,0,0,0,0,0,0,0,,False,True,corporate_actions;identity;price_volume;security_type,BASE_CANDIDATE;ELIGIBLE_RANKING_INPUT
1010834858905861612,PX1,2006-07-05,2006-08-02,126,21,21,0,0,21,0,0,0,0,0,0,0,,False,True,corporate_actions;identity;price_volume;security_type,BASE_CANDIDATE;ELIGIBLE_RANKING_INPUT
1011312157472209393,IPG,2006-07-05,2006-08-02,126,21,21,0,0,21,0,0,0,0,0,0,0,,False,True,corporate_actions;identity;price_volume;security_type,BASE_CANDIDATE;ELIGIBLE_RANKING_INPUT
1012536259009666805,CA1,2006-07-05,2006-08-02,126,21,21,0,0,21,0,0,0,0,0,0,0,,False,True,corporate_actions;identity;price_volume;security_type,BASE_CANDIDATE;ELIGIBLE_RANKING_INPUT
101394260399612779,MER,2006-07-05,2006-08-02,126,21,21,0,0,21,0,0,0,0,0,0,0,,False,True,corporate_actions;identity;price_volume;security_type,BASE_CANDIDATE;ELIGIBLE_RANKING_INPUT
1014372983295537240,CEPH,2006-07-05,2006-08-02,126,21,21,0,0,21,0,0,16,0,0,0,0,,False,True,corporate_actions;identity;price_volume;security_type,BASE_CANDIDATE;ELIGIBLE_RANKING_INPUT;RECENT_LEADERSHIP
1014805545048605370,MET,2006-07-05,2006-08-02,126,21,21,0,0,21,0,0,0,0,0,0,0,,False,True,corporate_actions;identity;price_volume;security_type,BASE_CANDIDATE;ELIGIBLE_RANKING_INPUT
1016424565532372947,MERQ,2006-07-05,2006-08-02,126,21,21,0,0,21,0,0,7,0,0,0,0,,False,True,corporate_actions;identity;price_volume;security_type,BASE_CANDIDATE;ELIGIBLE_RANKING_INPUT;RECENT_LEADERSHIP
1017085268049219012,MDLZ,2006-07-05,2006-08-02,126,21,21,0,0,21,0,0,0,0,0,0,0,,False,True,corporate_actions;identity;price_volume;security_type,BASE_CANDIDATE;ELIGIBLE_RANKING_INPUT
101710301216357235,CERN,2006-07-05,2006-08-02,126,21,21,0,0,21,0,0,2,0,0,0,0,,False,True,corporate_actions;identity;price_volume;security_type,BASE_CANDIDATE;ELIGIBLE_RANKING_INPUT;RECENT_LEADERSHIP
