window_years,variant,start,end,sessions,cagr,max_drawdown,sharpe,ending_multiple
5,RESEARCH,2021-07-30,2026-07-31,1256,0.0032178517889893676,-0.126735441085994,0.08190135674847002,1.0161931383774565
5,SPY,2021-07-30,2026-07-31,1256,0.1276172120948449,-0.2449730210824983,0.7878285340192002,1.8230915657945677
10,RESEARCH,2016-07-29,2026-07-31,2515,0.04888746680129841,-0.25600346906772753,0.5129226506454206,1.6117176443720362
10,SPY,2016-07-29,2026-07-31,2515,0.1499000229404326,-0.3370006748514037,0.8704054911994644,4.042042042041877
15,RESEARCH,2011-07-29,2026-07-31,3773,0.06696040008531057,-0.25600346906772753,0.6511425433903439,2.6437751443484236
15,SPY,2011-07-29,2026-07-31,3773,0.14403890479573933,-0.3370006748514036,0.8709781691056168,7.526826466764935
20,RESEARCH,2006-07-31,2026-07-31,5032,0.09204093209186492,-0.25600346906772753,0.7436451800159627,5.818061929120547
20,SPY,2006-07-31,2026-07-31,5032,0.11256560133142801,-0.5520185564591154,0.6473414847918394,8.44330665943228
max,RESEARCH,2006-07-31,2026-07-31,5032,0.0920389577114451,-0.25600346906772753,0.7436451800159627,5.818061929120547
max,SPY,2006-07-31,2026-07-31,5032,0.1125631644567402,-0.5520185564591154,0.6473414847918394,8.44330665943228
