security_id,ticker,priority,original_queue_member,review_required,status,candidate_classification,reviewed_classification,cusips,unknown_first_session,unknown_last_session,reason,path_evidence_run,path_is_pre_correction,held_sessions,pending_sessions,durable_ranked_sessions,recent_leadership_sessions,eligible_sessions
65658733308249266,VAL1,P0_HELD_OR_PENDING,false,true,OPEN_REVIEW,common,,920355104,2007-04-10,2017-05-31,HELD_OR_PENDING_OMITTED_FROM_INITIAL_HEURISTIC_QUEUE,34007704385,true,1301,1,134,48,1799
1095161666219760763,EV1,P0_HELD_OR_PENDING,false,true,OPEN_REVIEW,common,,278265103,2006-07-07,2021-02-26,HELD_OR_PENDING_OMITTED_FROM_INITIAL_HEURISTIC_QUEUE,34007704385,true,718,1,60,126,3330
675540632474526608,UST1,P0_HELD_OR_PENDING,false,true,OPEN_REVIEW,common,,902911106,2006-07-05,2009-01-05,HELD_OR_PENDING_OMITTED_FROM_INITIAL_HEURISTIC_QUEUE,34007704385,true,566,1,135,74,630
154896406978425602,CVSA,P0_HELD_OR_PENDING,true,true,OPEN_REVIEW,common,,00737L103 251893103,2007-05-03,2026-03-05,MULTIPLE_CUSIPS,34007704385,true,461,1,533,469,2943
536212536103247696,NVO,P0_HELD_OR_PENDING,false,true,OPEN_REVIEW,common,,670100205,2008-04-24,2026-07-31,HELD_OR_PENDING_OMITTED_FROM_INITIAL_HEURISTIC_QUEUE,34007704385,true,447,1,322,321,4126
63371714929571534,FMX,P0_HELD_OR_PENDING,false,true,OPEN_REVIEW,common,,344419106,2006-07-05,2026-07-31,HELD_OR_PENDING_OMITTED_FROM_INITIAL_HEURISTIC_QUEUE,34007704385,true,395,1,201,294,5005
1101212501432953147,ATI,P0_HELD_OR_PENDING,true,true,OPEN_REVIEW,common,,01741R102 017415100 879335107,2021-06-22,2022-01-06,MULTIPLE_CUSIPS,34007704385,true,378,1,707,678,5013
703152369925327464,RACE,P0_HELD_OR_PENDING,true,true,OPEN_REVIEW,common,,N3167Y103 N3167J106,2016-04-22,2026-07-31,MULTIPLE_CUSIPS,34007704385,true,378,1,239,164,2544
450783074872735055,KNX1,P0_HELD_OR_PENDING,false,true,OPEN_REVIEW,common,,499064103,2006-10-23,2017-09-08,HELD_OR_PENDING_OMITTED_FROM_INITIAL_HEURISTIC_QUEUE,34007704385,true,349,1,72,97,1026
895750335155060927,ESLT,P0_HELD_OR_PENDING,false,true,OPEN_REVIEW,common,,M3760D101,2025-03-18,2026-03-18,HELD_OR_PENDING_OMITTED_FROM_INITIAL_HEURISTIC_QUEUE,34007704385,true,338,1,165,67,345
718098875444344211,HCR1,P0_HELD_OR_PENDING,true,true,OPEN_REVIEW,common,,564055101 404134108 421937103,2006-07-05,2007-12-21,MULTIPLE_CUSIPS,34007704385,true,332,1,81,26,370
477008601146089039,MIR2,P0_HELD_OR_PENDING,false,true,OPEN_REVIEW,common,,60467R100,2006-07-07,2010-07-01,HELD_OR_PENDING_OMITTED_FROM_INITIAL_HEURISTIC_QUEUE,34007704385,true,329,1,77,74,993
1146479794355908667,DTGF,P0_HELD_OR_PENDING,false,true,OPEN_REVIEW,common,,256743105,2007-06-25,2012-11-26,HELD_OR_PENDING_OMITTED_FROM_INITIAL_HEURISTIC_QUEUE,34007704385,true,326,2,263,132,655
214820292338870148,CHAP1,P0_HELD_OR_PENDING,false,true,OPEN_REVIEW,common,,159423102,2006-07-05,2007-09-14,HELD_OR_PENDING_OMITTED_FROM_INITIAL_HEURISTIC_QUEUE,34007704385,true,310,1,210,103,301
1101958128290731445,CMCSK,P0_HELD_OR_PENDING,false,true,OPEN_REVIEW,common,,20030N200,2006-07-05,2015-12-11,HELD_OR_PENDING_OMITTED_FROM_INITIAL_HEURISTIC_QUEUE,34007704385,true,290,1,76,45,2377
957872957798018388,WGHTQ,P0_HELD_OR_PENDING,true,true,OPEN_REVIEW,common,,948626106 98262P101,2006-08-09,2024-11-04,MULTIPLE_CUSIPS,34007704385,true,259,1,778,598,2703
336647136488669274,GOLD1,P0_HELD_OR_PENDING,false,true,OPEN_REVIEW,common,,752344309,2007-09-28,2018-12-28,HELD_OR_PENDING_OMITTED_FROM_INITIAL_HEURISTIC_QUEUE,34007704385,true,227,2,518,543,2823
906755109876599247,QIHU,P0_HELD_OR_PENDING,false,true,OPEN_REVIEW,common,,74734M109,2011-11-08,2016-07-15,HELD_OR_PENDING_OMITTED_FROM_INITIAL_HEURISTIC_QUEUE,34007704385,true,205,2,352,341,1126
195747320659443536,IAG,P0_HELD_OR_PENDING,false,true,OPEN_REVIEW,common,,450913108,2009-02-03,2026-07-31,HELD_OR_PENDING_OMITTED_FROM_INITIAL_HEURISTIC_QUEUE,34007704385,true,203,1,705,686,2907
875803280520331787,ENDPQ,P0_HELD_OR_PENDING,true,true,OPEN_REVIEW,common,,G30401106 29264F205,2006-07-05,2022-01-12,MULTIPLE_CUSIPS,34007704385,true,196,1,522,572,3743
