security_id,ticker,priority,current_truth,vendor_category,cusips,base_disposition,held_sessions,pending_sessions,durable_ranked_sessions,recent_leadership_sessions,eligible_sessions,reason,status
154896406978425602,CVSA,P0_HELD_OR_PENDING,common,Domestic Common Stock,00737L103 251893103,INFERRED_COMMON,461,1,533,469,2943,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
1101212501432953147,ATI,P0_HELD_OR_PENDING,common,Domestic Common Stock,01741R102 017415100 879335107,INFERRED_COMMON,378,1,707,678,5013,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
703152369925327464,RACE,P0_HELD_OR_PENDING,common,ADR Common Stock,N3167Y103 N3167J106,INFERRED_COMMON,378,1,239,164,2544,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
718098875444344211,HCR1,P0_HELD_OR_PENDING,common,Domestic Common Stock,564055101 404134108 421937103,INFERRED_COMMON,332,1,81,26,370,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
957872957798018388,WGHTQ,P0_HELD_OR_PENDING,common,Domestic Common Stock,948626106 98262P101,INFERRED_COMMON,259,1,778,598,2703,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
875803280520331787,ENDPQ,P0_HELD_OR_PENDING,common,Domestic Common Stock,G30401106 29264F205,INFERRED_COMMON,196,1,522,572,3743,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
941818860792490502,GEN1,P0_HELD_OR_PENDING,common,Domestic Common Stock,37244E107 74971X107 75952B105,INFERRED_COMMON,172,1,203,186,1435,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
107197818933519057,MTL,P0_HELD_OR_PENDING,common,ADR Common Stock Primary Class,583840103 583840608,INFERRED_COMMON,159,1,447,336,1208,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
954034830355046974,KUST,P0_HELD_OR_PENDING,common,Domestic Common Stock,25382P208 25382T200 25382T101 25382T408 25382P109 25382T507 25382T606 25382T309,INFERRED_COMMON,159,1,244,158,407,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
223489731780916334,GOLLQ,P0_HELD_OR_PENDING,common,ADR Common Stock,38045R206 38045R107,INFERRED_COMMON,135,1,74,61,589,MULTIPLE_CUSIPS,REQUIRES_FACTUAL_CONTRADICTION_REVIEW
