security_id,ticker,effective_first_session,effective_last_session,classification,truth_source,vendor_category,evidence_kind,evidence_url,evidence_summary,outcome_information_used
1000699592357318969,AONEQ,2010-03-29,2011-05-20,common,VENDOR_CATEGORY_PLUS_EPISODE_IDENTITY,Domestic Common Stock,Domestic Common Stock,,unique SEP row; category unambiguous; interval covered; no admitted conflict,NO
1000817194050186660,DB,2009-07-06,2026-03-17,common,VENDOR_CATEGORY_PLUS_EPISODE_IDENTITY,ADR Common Stock Primary Class,ADR Common Stock Primary Class,,unique SEP row; category unambiguous; interval covered; no admitted conflict,NO
1001469623216439292,CNH1,2007-02-26,2013-05-14,common,VENDOR_CATEGORY_PLUS_EPISODE_IDENTITY,ADR Common Stock,ADR Common Stock,,unique SEP row; category unambiguous; interval covered; no admitted conflict,NO
1001634523728995283,SNPTY,2006-10-30,2022-09-08,common,VENDOR_CATEGORY_PLUS_EPISODE_IDENTITY,ADR Common Stock,ADR Common Stock,,unique SEP row; category unambiguous; interval covered; no admitted conflict,NO
1001740883460781372,SATA,2026-05-15,2026-07-24,non_common,VENDOR_CATEGORY_PLUS_EPISODE_IDENTITY,Domestic Preferred Stock,Domestic Preferred Stock,,unique SEP row; category unambiguous; interval covered; no admitted conflict,NO
1003083053231690499,ATAC1,2010-07-21,2010-08-13,common,VENDOR_CATEGORY_PLUS_EPISODE_IDENTITY,Domestic Common Stock,Domestic Common Stock,,unique SEP row; category unambiguous; interval covered; no admitted conflict,NO
1003177498035952999,LYG,2008-01-15,2026-07-31,common,VENDOR_CATEGORY_PLUS_EPISODE_IDENTITY,ADR Common Stock Primary Class,ADR Common Stock Primary Class,,unique SEP row; category unambiguous; interval covered; no admitted conflict,NO
1003696564907692772,GOOS,2017-11-14,2025-09-23,common,VENDOR_CATEGORY_PLUS_EPISODE_IDENTITY,ADR Common Stock,ADR Common Stock,,unique SEP row; category unambiguous; interval covered; no admitted conflict,NO
1004199661649856090,GRML,2025-06-09,2025-07-11,common,VENDOR_CATEGORY_PLUS_EPISODE_IDENTITY,Domestic Common Stock Primary Class,Domestic Common Stock Primary Class,,unique SEP row; category unambiguous; interval covered; no admitted conflict,NO
1004576637256796388,NEE-PP1,2016-02-24,2016-07-13,non_common,VENDOR_CATEGORY_PLUS_EPISODE_IDENTITY,Domestic Preferred Stock,Domestic Preferred Stock,,unique SEP row; category unambiguous; interval covered; no admitted conflict,NO
1005418764309241651,MBAI,2021-01-04,2026-01-28,common,VENDOR_CATEGORY_PLUS_EPISODE_IDENTITY,ADR Common Stock Primary Class,ADR Common Stock Primary Class,,unique SEP row; category unambiguous; interval covered; no admitted conflict,NO
