window_years,variant,surface,start,end,sessions,cagr,max_drawdown,sharpe,ending_multiple
5,CONTROL_E3,E3_CONTROLLED,2021-07-30,2026-07-31,1256,0.2729669921822848,-0.20486520428893873,1.318577964178183,3.34261003829236
5,CONTROL_E3,WEALTH_CORE,2021-07-30,2026-07-31,1256,0.23794628326841827,-0.30751074417931135,1.0828990573077457,2.9074282192223295
10,CONTROL_E3,E3_CONTROLLED,2016-07-29,2026-07-31,2515,0.24403691516711667,-0.2861859296712327,1.1985024998087035,8.87835848375698
10,CONTROL_E3,WEALTH_CORE,2016-07-29,2026-07-31,2515,0.21752622730969762,-0.3280338242172032,0.9948337989507466,7.157860881781672
15,CONTROL_E3,E3_CONTROLLED,2011-07-29,2026-07-31,3773,0.20646140574564975,-0.2861859296712328,1.1295847550427305,16.699424445115934
15,CONTROL_E3,WEALTH_CORE,2011-07-29,2026-07-31,3773,0.18720183088240994,-0.3280338242172032,0.941591624585427,13.118022318394917
20,CONTROL_E3,E3_CONTROLLED,2006-07-31,2026-07-31,5032,0.2032767188459037,-0.2861859296712328,1.101491660287212,40.48650425823044
20,CONTROL_E3,WEALTH_CORE,2006-07-31,2026-07-31,5032,0.1718393204044717,-0.4514201738530139,0.8662766300825864,23.843023587717127
max,CONTROL_E3,E3_CONTROLLED,1998-01-02,2026-07-31,7188,0.19954801557875324,-0.334590483108426,1.0736657409261394,181.1220290928661
max,CONTROL_E3,WEALTH_CORE,1998-01-02,2026-07-31,7188,0.171971436549764,-0.4514201738530139,0.8535503491693458,93.18391450384225
5,E5_DETERIORATION_SECOND_REVIEW_E3,E3_CONTROLLED,2021-07-30,2026-07-31,1256,0.26008922651773503,-0.2178740991586816,1.2679644605432832,3.1769215623518785
5,E5_DETERIORATION_SECOND_REVIEW_E3,WEALTH_CORE,2021-07-30,2026-07-31,1256,0.21173334000352106,-0.33137570493908486,0.9682263345853088,2.612373603554552
10,E5_DETERIORATION_SECOND_REVIEW_E3,E3_CONTROLLED,2016-07-29,2026-07-31,2515,0.22840949447329062,-0.3049851427669388,1.1470865250778424,7.824050497788438
10,E5_DETERIORATION_SECOND_REVIEW_E3,WEALTH_CORE,2016-07-29,2026-07-31,2515,0.20538467758573775,-0.35962087906860474,0.9436664745606635,6.475251866246516
15,E5_DETERIORATION_SECOND_REVIEW_E3,E3_CONTROLLED,2011-07-29,2026-07-31,3773,0.19365449190267836,-0.30498514276693867,1.0885424272202329,14.229169423880927
15,E5_DETERIORATION_SECOND_REVIEW_E3,WEALTH_CORE,2011-07-29,2026-07-31,3773,0.17525064557063819,-0.35962087906860474,0.8901701969750829,11.270870926864815
20,E5_DETERIORATION_SECOND_REVIEW_E3,E3_CONTROLLED,2006-07-31,2026-07-31,5032,0.1950040602730856,-0.3049851427669388,1.092944557586266,35.26855105589028
20,E5_DETERIORATION_SECOND_REVIEW_E3,WEALTH_CORE,2006-07-31,2026-07-31,5032,0.16679797109251782,-0.43051411180426136,0.8437967245597373,21.87324942819537
max,E5_DETERIORATION_SECOND_REVIEW_E3,E3_CONTROLLED,1998-01-02,2026-07-31,7188,0.19488217126484453,-0.32190674427321575,1.0739922563897941,162.03379171056076
max,E5_DETERIORATION_SECOND_REVIEW_E3,WEALTH_CORE,1998-01-02,2026-07-31,7188,0.16985501238031064,-0.43051411180426136,0.8449317812771846,88.4931243018147
