window_years,variant,start,end,sessions,cagr,max_drawdown,sharpe,ending_multiple
5,RESEARCH,2021-07-30,2026-07-31,1256,0.2600892265177339,-0.21787409915868194,1.26796446054328,3.1769215623518656
5,CORE,2021-07-30,2026-07-31,1256,0.21173334000352106,-0.33137570493908486,0.9682263345853088,2.612373603554552
5,SPY,2021-07-30,2026-07-31,1256,0.12761721209485044,-0.2449730210824944,0.7878285340192289,1.8230915657946116
10,RESEARCH,2016-07-29,2026-07-31,2515,0.22840949447329018,-0.30498514276693856,1.14708652507784,7.824050497788405
10,CORE,2016-07-29,2026-07-31,2515,0.20538467758573775,-0.35962087906860474,0.9436664745606635,6.475251866246516
10,SPY,2016-07-29,2026-07-31,2515,0.14990002294043725,-0.33700067485140295,0.8704054911994875,4.042042042042042
15,RESEARCH,2011-07-29,2026-07-31,3773,0.19176603984440144,-0.30498514276693856,1.0803693495897109,13.895209093676767
15,CORE,2011-07-29,2026-07-31,3773,0.17525064557063819,-0.35962087906860474,0.8901701969750829,11.270870926864815
15,SPY,2011-07-29,2026-07-31,3773,0.14403890479574422,-0.33700067485140295,0.8709781691056413,7.526826466765409
20,RESEARCH,2006-07-31,2026-07-31,5032,0.19358583929345397,-0.30498514276693856,1.086830683732507,34.440793889918254
20,CORE,2006-07-31,2026-07-31,5032,0.16679797109251782,-0.43051411180426136,0.8437967245597373,21.87324942819537
20,SPY,2006-07-31,2026-07-31,5032,0.11256560133143312,-0.55201855645911,0.6473414847918653,8.443306659433068
max,RESEARCH,1998-01-02,2026-07-31,7188,0.1938894836667706,-0.32190674427321575,1.0697822034202105,158.23083898915505
max,CORE,1998-01-02,2026-07-31,7188,0.16985501238031064,-0.43051411180426136,0.8449317812771846,88.4931243018147
max,SPY,1998-01-02,2026-07-31,7188,0.09247403221211403,-0.5520185564591099,0.5546673774424087,12.52040559792173
