episode,decision_date,cause_family,changed_threshold_predicates,predicate_state,e3_wc_dd,e5_wc_dd,e3_damaged,e5_damaged,e3_green,e5_green,e3_r5,e5_r5,e3_r10,e5_r10,e3_damaged_delta5,e5_damaged_delta5,spy_volacc,spy_r20
1,2008-01-23,FAST_SIGNAL_CLIFF,dam|ddam5,"E3_PASS=dd,green,short,volacc,confirm;E5_PASS=dd,dam,green,short,ddam5,volacc,confirm",-0.1253750203071368,-0.1174212837473721,0.6875,0.8823529411764706,0.125,0.0588235294117647,-0.0622326348062775,-0.0606812222407905,-0.0699836040136264,-0.0666248848122218,0.0208333333333333,0.326797385620915,0.4512505825411941,-0.0963360617643432
2,2008-07-02,FAST_SIGNAL_CLIFF,dam,"E3_PASS=dd,green,short,ddam5,volacc,confirm;E5_PASS=dd,dam,green,short,ddam5,volacc,confirm",-0.1220094120030597,-0.118117240276805,0.8695652173913043,1.0,0.0869565217391304,0.0,-0.0794024323579807,-0.0810443708597452,-0.1220094120030597,-0.118117240276805,0.3478260869565217,0.5,0.0640998427640704,-0.0811426834827534
3,2010-06-29,SLOW_SIGNAL_CLIFF,base_active|duration|base_return,"E3_PASS=base_active,duration,base_return,r40,dam,green;E5_PASS=r40,dam,green",-0.200922780297632,-0.1475931727274657,0.9523809523809524,0.9047619047619048,0.0476190476190476,0.0476190476190476,-0.0318682123154574,-0.0355648061936222,-0.0550716033947887,-0.0527257902746268,0.4023809523809523,0.3047619047619048,-0.1543480873039641,-0.026267744699877
4,2011-08-04,FAST_SIGNAL_CLIFF,ddam5,"E3_PASS=dd,dam,green,short,ddam5,volacc,confirm;E5_PASS=dd,dam,green,short,volacc,confirm",-0.1290915003296314,-0.122014837213494,0.9583333333333334,0.9166666666666666,0.0416666666666666,0.0416666666666666,-0.0718766571760675,-0.0739025797833003,-0.1048065505762259,-0.0987893518219026,0.375,0.2916666666666666,0.4764697263532917,-0.1115464592398629
5,2015-10-27,NATIVE_STATE_OR_RAMP_TIMING,,,-0.0934595673221094,-0.074506976786707,0.5263157894736842,0.4210526315789473,0.3684210526315789,0.3684210526315789,0.0115474752895701,0.0109965407453929,0.019631603352062,0.0252821500399811,-0.1403508771929824,-0.2607655502392344,0.1635427856859312,0.0982358803775811
6,2018-02-08,FAST_SIGNAL_CLIFF,dd,"E3_PASS=dam,green,short,ddam5,volacc,confirm;E5_PASS=dd,dam,green,short,ddam5,volacc,confirm",-0.0949979727857919,-0.1007099926386764,0.9130434782608696,0.9166666666666666,0.0,0.0,-0.0802294606624542,-0.0875812858619957,-0.0855850366628662,-0.0910036261067186,0.608695652173913,0.5688405797101449,0.6470581437077043,-0.0601551909114347
7,2019-01-24,RECOVERY_RELEASE_TIMING,,,-0.2591050489981314,-0.2567423952205648,0.4347826086956521,0.4347826086956521,0.5217391304347826,0.5217391304347826,-0.0013781295331816,-0.0027028378057466,0.0111439527669305,0.0079983310097984,-0.2015810276679842,-0.1561264822134387,-0.3445278542773361,0.1246467982740846
8,2020-04-21,RECOVERY_RELEASE_TIMING,,,-0.2628657797386107,-0.2677611194059089,0.0,0.0,1.0,1.0,-0.0017776699690988,-0.0022877622260272,0.0060122565104892,0.0021891542232619,0.0,0.0,-0.3426832484632554,0.2246717593113674
9,2021-03-08,FAST_SIGNAL_CLIFF,dam,"E3_PASS=dd,green,short,ddam5,volacc,confirm;E5_PASS=dd,dam,green,short,ddam5,volacc,confirm",-0.2228981763616776,-0.2283989628188666,0.8235294117647058,0.875,0.1764705882352941,0.125,-0.1673306564700494,-0.1719107762339409,-0.1446876195927082,-0.1501417986324705,0.3452685421994884,0.3532608695652174,0.1994188815126156,-0.0154509562033048
10,2021-04-20,NATIVE_STATE_OR_RAMP_TIMING,,,-0.2030458210424257,-0.2069555163449081,0.6086956521739131,0.5652173913043478,0.1739130434782608,0.217391304347826,-0.0404902263038094,-0.0434911941180063,-0.0502582757784897,-0.0529718680378469,0.1541501976284585,0.1366459627329192,0.0626041723215777,0.0498744660018926
11,2022-02-01,SLOW_SIGNAL_CLIFF,duration,"E3_PASS=base_active,base_return,r40,dam,green;E5_PASS=base_active,duration,base_return,r40,dam,green",-0.1852816060479875,-0.2071194012912709,0.8947368421052632,0.8823529411764706,0.1052631578947368,0.1176470588235294,0.0500354206563031,0.0499760650176137,0.0106613133428146,0.0085278797338497,-0.0526315789473683,-0.0588235294117647,0.0900378244763966,-0.0518306725260054
12,2022-08-04,NATIVE_STATE_OR_RAMP_TIMING,,,-0.2922840274091285,-0.3200953519553262,0.2727272727272727,0.3,0.5909090909090909,0.55,-0.024173708579132,-0.0223725228426623,0.0001090067284403,0.0012085863038944,-0.0213903743315508,-0.0333333333333333,-0.1623138664003013,0.0647308532136221
13,2022-08-18,NATIVE_STATE_OR_RAMP_TIMING,,,-0.2626858910337175,-0.301729546181073,0.2272727272727272,0.2272727272727272,0.7272727272727273,0.7272727272727273,0.0195933019593543,0.0167548451814996,0.0418220550640611,0.0270123256651813,-0.0454545454545454,-0.0454545454545454,-0.1902365924753406,0.0729720362055601
