window_years,variant,start,end,sessions,cagr,max_drawdown,sharpe,ending_multiple
5,RESEARCH,2021-07-30,2026-07-31,1256,0.2729669921822848,-0.20486520428893906,1.3185779641781805,3.3426100382923596
5,CORE,2021-07-30,2026-07-31,1256,0.23794628326841827,-0.30751074417931135,1.0828990573077457,2.9074282192223295
5,SPY,2021-07-30,2026-07-31,1256,0.12761721209485044,-0.2449730210824944,0.7878285340192289,1.8230915657946116
10,RESEARCH,2016-07-29,2026-07-31,2515,0.24016827780398797,-0.2962659467931288,1.1831211412271037,8.606095946613799
10,CORE,2016-07-29,2026-07-31,2515,0.21752622730969762,-0.3280338242172032,0.9948337989507466,7.157860881781672
10,SPY,2016-07-29,2026-07-31,2515,0.14990002294043725,-0.33700067485140295,0.8704054911994875,4.042042042042042
15,RESEARCH,2011-07-29,2026-07-31,3773,0.20337117296800478,-0.2962659467931288,1.116103716498049,16.06919255391164
15,CORE,2011-07-29,2026-07-31,3773,0.18720183088240994,-0.3280338242172032,0.941591624585427,13.118022318394917
15,SPY,2011-07-29,2026-07-31,3773,0.14403890479574422,-0.33700067485140295,0.8709781691056413,7.526826466765409
20,RESEARCH,2006-07-31,2026-07-31,5032,0.2009644213161852,-0.2962659467931288,1.0915049747356884,38.958554224337036
20,CORE,2006-07-31,2026-07-31,5032,0.1718393204044717,-0.4514201738530139,0.8662766300825864,23.843023587717127
20,SPY,2006-07-31,2026-07-31,5032,0.11256560133143312,-0.55201855645911,0.6473414847918653,8.443306659433068
max,RESEARCH,1998-01-02,2026-07-31,7188,0.1979341893464519,-0.334590483108426,1.0667462593395953,174.28653130016576
max,CORE,1998-01-02,2026-07-31,7188,0.171971436549764,-0.4514201738530139,0.8535503491693458,93.18391450384225
max,SPY,1998-01-02,2026-07-31,7188,0.09247403221211403,-0.5520185564591099,0.5546673774424087,12.52040559792173
