age,entry_day,entry_signal_price,peak,price,recent21,signal_date,ticker,tid
120,797,19.583,22.593,19.22,-0.0593647790857591,2001-08-21,LNCR,11744
136,1681,15.26,17.065,14.775,-0.05591052011875042,2005-03-24,FLIR,7457
121,2357,26.64,30.26,26.13,-0.021348342571234524,2007-11-07,GEN1,8194
126,2504,35.76,40.39,34.22,-0.11872267869345787,2008-06-17,BMRN,2774
126,2851,17.68,21.17,17.24,-0.009195380576898504,2009-10-30,AN,1185
121,3333,74.4,83.08,66.15,-0.06488546794430083,2011-09-22,SM,17957
139,3510,15.61,17.97,15.47,-0.007697251533892446,2012-07-02,AUY,1920
126,3555,208.0,219.9,206.1,-0.02122812921469963,2012-08-16,GWW,8948
121,3612,62.94,63.7,58.56,-0.000512035373097075,2012-11-01,EC,6186
131,5233,166.81,184.72,166.77,-0.011733333333333262,2019-04-29,AAP,59
122,5271,115.48,131.02,113.93,-0.016148557879760994,2019-06-10,LLY,11701
123,5387,6.18,6.49,6.09,-0.011363611874360191,2019-11-22,ZNGA,21876
121,6736,112.23,114.99,101.98,-0.05530335448832446,2025-04-04,AFL,538
122,6880,38.82,40.22,38.24,-0.0013058478540559637,2025-10-31,CNP,4519
