episode,decision_date,start,end,sessions,cause_family,changed_threshold_predicates,predicate_state,e3_fast_signal,e5_fast_signal,e3_slow_signal,e5_slow_signal,e3_reason,e5_reason,e3_wc_dd,e5_wc_dd,wc_dd_delta_e5_minus_e3,e3_damaged,e5_damaged,damaged_delta_e5_minus_e3,e3_green,e5_green,e3_r5,e5_r5,e3_r10,e5_r10,e3_damaged_delta5,e5_damaged_delta5,spy_volacc,spy_r20,e3_native_close_target,e5_native_close_target,e3_effective_native,e5_effective_native,e3_start_allocation,e5_start_allocation,e3_controlled_return,e5_controlled_return,e5_minus_e3_controlled_return,e3_core_return,e5_core_return,e5_minus_e3_core_return
1,2008-01-23,2008-01-24,2008-05-21,83,FAST_SIGNAL_CLIFF,dam|ddam5,"E3_PASS=dd,green,short,volacc,confirm;E5_PASS=dd,dam,green,short,ddam5,volacc,confirm",False,True,False,False,NORMAL,RECOVERY_EPISODE_START,-0.1253750203071368,-0.1174212837473721,0.007953736559764696,0.6875,0.8823529411764706,0.19485294117647056,0.125,0.0588235294117647,-0.0622326348062775,-0.0606812222407905,-0.0699836040136264,-0.0666248848122218,0.0208333333333333,0.326797385620915,0.4512505825411941,-0.0963360617643432,1.0,0.0,1.0,1.0,1.0,0.0,0.1524985703779329,0.013917306154155984,-0.13858126422377692,0.15249857037793202,0.12125955547895129,-0.031239014898980733
2,2008-07-02,2008-07-03,2008-07-08,3,FAST_SIGNAL_CLIFF,dam,"E3_PASS=dd,green,short,ddam5,volacc,confirm;E5_PASS=dd,dam,green,short,ddam5,volacc,confirm",False,True,False,False,NORMAL,RECOVERY_EPISODE_START,-0.1220094120030597,-0.118117240276805,0.003892171726254709,0.8695652173913043,1.0,0.13043478260869568,0.0869565217391304,0.0,-0.0794024323579807,-0.0810443708597452,-0.1220094120030597,-0.118117240276805,0.3478260869565217,0.5,0.0640998427640704,-0.0811426834827534,1.0,0.0,1.0,1.0,1.0,0.0,-0.025481508557714028,-0.0053787586324338665,0.02010274992528016,-0.025481508557714028,-0.010004419708470436,0.015477088849243592
3,2010-06-29,2010-06-30,2010-09-30,65,SLOW_SIGNAL_CLIFF,base_active|duration|base_return,"E3_PASS=base_active,duration,base_return,r40,dam,green;E5_PASS=r40,dam,green",False,False,True,False,RECOVERY_EPISODE_START,NORMAL,-0.200922780297632,-0.1475931727274657,0.053329607570166304,0.9523809523809524,0.9047619047619048,-0.04761904761904767,0.0476190476190476,0.0476190476190476,-0.0318682123154574,-0.0355648061936222,-0.0550716033947887,-0.0527257902746268,0.4023809523809523,0.3047619047619048,-0.1543480873039641,-0.026267744699877,0.0,1.0,1.0,1.0,0.0,1.0,0.05119908831948772,0.14310254043326398,0.09190345211377626,0.1329365446249604,0.14310254043326354,0.01016599580830313
4,2011-08-04,2011-08-05,2011-08-05,1,FAST_SIGNAL_CLIFF,ddam5,"E3_PASS=dd,dam,green,short,ddam5,volacc,confirm;E5_PASS=dd,dam,green,short,volacc,confirm",True,False,False,False,RECOVERY_EPISODE_START,NORMAL,-0.1290915003296314,-0.122014837213494,0.007076663116137402,0.9583333333333334,0.9166666666666666,-0.04166666666666674,0.0416666666666666,0.0416666666666666,-0.0718766571760675,-0.0739025797833003,-0.1048065505762259,-0.0987893518219026,0.375,0.2916666666666666,0.4764697263532917,-0.1115464592398629,0.0,1.0,1.0,1.0,0.0,1.0,0.0091757354976707,-0.009674332298322152,-0.018850067795992853,-0.010040588187440025,-0.009674332298322152,0.00036625588911787244
5,2015-10-27,2015-10-28,2016-02-25,82,NATIVE_STATE_OR_RAMP_TIMING,,,False,False,False,False,NORMAL,FULL_RISK_HELD,-0.0934595673221094,-0.074506976786707,0.018952590535402408,0.5263157894736842,0.4210526315789473,-0.10526315789473689,0.3684210526315789,0.3684210526315789,0.0115474752895701,0.0109965407453929,0.019631603352062,0.0252821500399811,-0.1403508771929824,-0.2607655502392344,0.1635427856859312,0.0982358803775811,0.55,1.0,0.0,1.0,0.55,0.0,-0.06407807880714089,0.008234991640479361,0.07231307044762025,-0.0944845933687446,-0.07485889939718482,0.019625693971559777
6,2018-02-08,2018-02-09,2018-05-17,68,FAST_SIGNAL_CLIFF,dd,"E3_PASS=dam,green,short,ddam5,volacc,confirm;E5_PASS=dd,dam,green,short,ddam5,volacc,confirm",False,True,False,False,NORMAL,RECOVERY_EPISODE_START,-0.0949979727857919,-0.1007099926386764,-0.005712019852884498,0.9130434782608696,0.9166666666666666,0.0036231884057970065,0.0,0.0,-0.0802294606624542,-0.0875812858619957,-0.0855850366628662,-0.0910036261067186,0.608695652173913,0.5688405797101449,0.6470581437077043,-0.0601551909114347,1.0,0.0,1.0,1.0,1.0,0.0,0.09778074886723598,0.023953888964107106,-0.07382685990312887,0.09778074886723598,0.08606788132770671,-0.01171286753952927
7,2019-01-24,2019-01-25,2019-02-04,7,RECOVERY_RELEASE_TIMING,,,False,False,False,False,NORMAL,FULL_RISK_CERTIFIED_SPY_V_REBOUND,-0.2591050489981314,-0.2567423952205648,0.0023626537775666145,0.4347826086956521,0.4347826086956521,0.0,0.5217391304347826,0.5217391304347826,-0.0013781295331816,-0.0027028378057466,0.0111439527669305,0.0079983310097984,-0.2015810276679842,-0.1561264822134387,-0.3445278542773361,0.1246467982740846,0.0,1.0,0.0,0.0,0.0,1.0,0.00042575838211811323,0.026887325552762187,0.026461567170644074,0.02561453874442421,0.032082462055057714,0.0064679233106335055
8,2020-04-21,2020-04-22,2020-04-22,1,RECOVERY_RELEASE_TIMING,,,False,False,False,False,FULL_RISK_CERTIFIED_SPY_V_REBOUND,NORMAL,-0.2628657797386107,-0.2677611194059089,-0.004895339667298215,0.0,0.0,0.0,1.0,1.0,-0.0017776699690988,-0.0022877622260272,0.0060122565104892,0.0021891542232619,0.0,0.0,-0.3426832484632554,0.2246717593113674,1.0,0.0,0.0,0.0,1.0,0.0,0.007273035207518541,0.0,-0.007273035207518541,0.014088650905917044,0.0126427785163572,-0.0014458723895598435
9,2021-03-08,2021-03-09,2021-04-06,20,FAST_SIGNAL_CLIFF,dam,"E3_PASS=dd,green,short,ddam5,volacc,confirm;E5_PASS=dd,dam,green,short,ddam5,volacc,confirm",False,True,False,False,NORMAL,RECOVERY_EPISODE_START,-0.2228981763616776,-0.2283989628188666,-0.005500786457188989,0.8235294117647058,0.875,0.05147058823529416,0.1764705882352941,0.125,-0.1673306564700494,-0.1719107762339409,-0.1446876195927082,-0.1501417986324705,0.3452685421994884,0.3532608695652174,0.1994188815126156,-0.0154509562033048,1.0,0.0,1.0,1.0,1.0,0.0,0.06820889731991486,0.0244642377167148,-0.043744659603200065,0.07981636783364565,0.08528016480999079,0.005463796976345137
10,2021-04-20,2021-04-21,2021-06-18,42,NATIVE_STATE_OR_RAMP_TIMING,,,False,False,False,False,NORMAL,NORMAL,-0.2030458210424257,-0.2069555163449081,-0.003909695302482419,0.6086956521739131,0.5652173913043478,-0.0434782608695653,0.1739130434782608,0.217391304347826,-0.0404902263038094,-0.0434911941180063,-0.0502582757784897,-0.0529718680378469,0.1541501976284585,0.1366459627329192,0.0626041723215777,0.0498744660018926,1.0,0.65,1.0,0.55,0.55,0.65,0.03944310320038036,0.0491176253294765,0.009674522129096141,0.07379107551039232,0.07300003540590572,-0.0007910401044866067
