ticker,qty,mark,market_value,portfolio_weight,entry_day,episode
CRS,2272196.0,519.66,1180769373.36,0.06795087282823403,6709,679
ATEX,11003861.0,93.02,1023579150.2199999,0.058904895600663004,7160,719
ESLT,933105.0,808.65,754555358.25,0.043423124233318004,6846,691
AHR,13428465.0,55.6,746622654.0,0.04296661325849328,6734,684
SYRE,7243004.0,98.33,712204583.3199999,0.04098592338243837,7180,722
MCK,791289.0,856.19,677493728.9100001,0.038988384398969046,6068,606
KGS,11080121.0,58.71,650513903.91,0.03743575041398842,7145,718
WELL,2709225.0,234.44,635150709.0,0.03655162983369751,6733,683
APH,3762090.0,160.7,604567863.0,0.034791649327633116,6962,705
ATEN,19851312.0,29.57,587003295.84,0.033780844257396726,7175,720
INDV,14485386.0,40.01,579560293.86,0.03335251465094353,7010,710
CAH,2427163.0,230.03,558320304.89,0.032130196540450386,6283,645
LLYVK,4870530.0,98.6,480234258.0,0.02763650356230081,6781,687
VTR,5005837.0,93.51,468095817.87,0.026937961052462787,6719,682
CNP,10264692.0,42.04,431527651.68,0.024833537558425545,6882,701
NFG,4797372.0,82.31,394871689.32,0.022724061573599606,6883,702
CVX,1347944.0,196.83,265315817.52,0.01526838498894894,6075,608
AFL,778670.0,127.48,99264851.60000001,0.005712490059080004,6735,685
GOOG,202708.0,356.65,72295808.19999999,0.004160476533222908,7035,715
ROIV,30899.0,33.91,1047785.0899999999,6.029789814018364e-05,7037,716
