ticker,relatedtickers_raw,old_issuer_key,corrected_issuer_key
AIMBU,AIMAU AIMAW,AIMAU AIMAW|AIMBU,AIMAU|AIMAW|AIMBU
AKICW,AKICU AKIC,AKICU AKIC|AKICW,AKIC|AKICU|AKICW
AMPI.WS,AMPI AMPI.U,AMPI AMPI.U|AMPI.WS,AMPI|AMPI.U|AMPI.WS
ATAQ.WS,ATAQ ATAQ.U,ATAQ ATAQ.U|ATAQ.WS,ATAQ|ATAQ.U|ATAQ.WS
BC-PC,BC-PA BC-PB BC,BC-PA BC-PB BC|BC-PC,BC|BC-PA|BC-PB|BC-PC
BGSX.U,BGSX BGSX.WS,BGSX BGSX.WS|BGSX.U,BGSX|BGSX.U|BGSX.WS
BGSX.WS,BGSX BGSX.U,BGSX BGSX.U|BGSX.WS,BGSX|BGSX.U|BGSX.WS
BLEUR,BLEUU BLEUW BLEU,BLEUR|BLEUU BLEUW BLEU,BLEU|BLEUR|BLEUU|BLEUW
BLEUU,BLEUW BLEU BLEUR,BLEUU|BLEUW BLEU BLEUR,BLEU|BLEUR|BLEUU|BLEUW
BLEUW,BLEUU BLEU BLEUR,BLEUU BLEU BLEUR|BLEUW,BLEU|BLEUR|BLEUU|BLEUW
BLNGU,BLNG BLNGW,BLNG BLNGW|BLNGU,BLNG|BLNGU|BLNGW
BLNGW,BLNG BLNGU,BLNG BLNGU|BLNGW,BLNG|BLNGU|BLNGW
BNNRU,BNNRW BNNR,BNNRU|BNNRW BNNR,BNNR|BNNRU|BNNRW
BNNRW,BNNRU BNNR,BNNRU BNNR|BNNRW,BNNR|BNNRU|BNNRW
CCAIW,CCAIU CCAI,CCAIU CCAI|CCAIW,CCAI|CCAIU|CCAIW
DANOY,GDNNY DA,DANOY|GDNNY DA,DA|DANOY|GDNNY
FICVU,FICVW FICV,FICVU|FICVW FICV,FICV|FICVU|FICVW
FICVW,FICVU FICV,FICVU FICV|FICVW,FICV|FICVU|FICVW
FRDMQ,FRM FRDM,FRDMQ|FRM FRDM,FRDM|FRDMQ|FRM
GHIXW,GHIX GHIXU,GHIX GHIXU|GHIXW,GHIX|GHIXU|GHIXW
GNRSW,GNRSU GNRS,GNRSU GNRS|GNRSW,GNRS|GNRSU|GNRSW
GSEVU,GSEVW GSEV,GSEVU|GSEVW GSEV,GSEV|GSEVU|GSEVW
GSEVW,GSEVU GSEV,GSEVU GSEV|GSEVW,GSEV|GSEVU|GSEVW
