date,nav,effective_allocation,pending_allocation,native_next,ldrc_desired_next,raw_fast,dynamic_confirmed,warning,warning_streak,confirmed,provisional,fast_active,slow_active,ldrc_episode,ldrc_latched,reason,factor,transitioned
2006-07-31,1.0,1.0,1.0,1.0,1.0,False,False,False,0,False,False,False,False,False,False,NORMAL,1.0,False
2008-07-02,1.4190038756068781,1.0,0.0,0.0,0.0,True,True,True,1,True,False,True,False,True,False,SEVERE|RECOVERY_EPISODE_START|FASTGATE_CONFIRMED_CAUSAL,0.9180736737322428,False
2009-03-27,1.4263153635138588,0.0,1.0,1.0,1.0,False,False,False,0,False,False,False,False,False,False,FULL_RISK_CERTIFIED,1.0002192021043397,False
2010-05-07,1.9483932034720548,1.0,0.55,1.0,1.0,True,False,True,1,False,True,False,False,False,False,FASTGATE_PROVISIONAL_FIRST_WARNING,0.9659601814785007,False
2010-05-10,2.0568785863357344,0.55,1.0,1.0,1.0,False,False,False,0,False,False,False,False,False,False,NORMAL,1.0556794094078945,True
2010-07-02,1.8918941785535357,1.0,0.0,0.0,0.0,False,False,False,0,False,False,False,True,True,False,SEVERE|RECOVERY_EPISODE_START,0.9916921893744913,False
2010-07-30,1.9178969342519596,0.0,0.55,0.55,0.55,False,False,False,0,False,False,False,False,True,False,RECOVERY_RAMP,1.000219256173431,False
2010-08-17,1.9492389250207216,0.55,0.65,0.65,0.65,False,False,False,0,False,False,False,False,True,False,RAMP_PROMOTED,1.0041519491271178,False
2010-09-17,2.006513411648852,0.65,1.0,1.0,1.0,False,False,False,0,False,False,False,False,False,False,FULL_RISK_CERTIFIED,1.0004163619904267,False
2011-08-04,2.526787179065568,1.0,0.0,0.0,0.0,True,True,True,1,True,False,True,False,True,False,SEVERE|RECOVERY_EPISODE_START|FASTGATE_CONFIRMED_CAUSAL,0.9471703493747574,False
2011-10-28,2.5457607917035867,0.0,1.0,1.0,1.0,False,False,False,0,False,False,False,False,False,False,FULL_RISK_CERTIFIED,1.0,False
2015-08-25,4.511028918174592,1.0,0.0,0.0,0.0,True,True,True,1,True,False,True,False,True,False,SEVERE|RECOVERY_EPISODE_START|FASTGATE_CONFIRMED_CAUSAL,0.9949280507935577,False
2016-03-11,4.600037813193764,0.0,1.0,1.0,1.0,False,False,False,0,False,False,False,False,False,False,FULL_RISK_CERTIFIED,0.9997814058337323,False
2018-10-11,6.532254479161042,1.0,0.0,0.0,0.0,True,True,True,1,True,False,True,False,True,False,SEVERE|RECOVERY_EPISODE_START|FASTGATE_CONFIRMED_CAUSAL,0.9832561166141338,False
2019-01-24,6.6874776412588,0.0,1.0,1.0,1.0,False,False,False,0,False,False,False,False,False,False,RECOVERY_FULL|FULL_RISK_CERTIFIED,1.0003194207836454,False
2020-02-27,8.419673786070554,1.0,0.0,0.0,0.0,True,True,True,1,True,False,True,False,True,False,SEVERE|RECOVERY_EPISODE_START|FASTGATE_CONFIRMED_CAUSAL,0.9615222439239095,False
2020-04-21,8.148917403712748,0.0,1.0,1.0,1.0,False,False,False,0,False,False,False,False,False,False,RECOVERY_FULL|FULL_RISK_CERTIFIED,1.0,False
2021-03-11,17.178454997741458,1.0,0.55,1.0,0.55,False,False,False,0,False,False,False,False,False,True,LD_ENTER_DIVERGENCE,1.0266278673669271,False
2021-06-10,17.30714386184779,0.55,1.0,1.0,1.0,False,False,False,0,False,False,False,False,False,False,DIVERGENCE_CLEAR,0.9983048095388152,False
2021-07-23,17.294292967677443,1.0,0.55,1.0,0.55,False,False,False,0,False,False,False,False,False,True,LD_ENTER_DIVERGENCE,0.9976438634101991,False
2022-04-26,16.913436303641202,0.55,0.0,0.0,0.0,False,True,True,1,True,False,True,False,True,True,SEVERE|RECOVERY_EPISODE_START|FASTGATE_CONFIRMED_CAUSAL,0.98905148588179,False
2022-08-04,16.97747941251788,0.0,0.55,0.55,0.55,False,False,False,0,False,False,False,False,True,True,RECOVERY_RAMP,1.000207983985233,False
2022-08-18,17.51597092964796,0.55,0.65,0.65,0.65,False,False,False,0,False,False,False,False,True,False,RAMP_PROMOTED,1.0053417444871637,False
2022-11-11,17.47905329838059,0.65,1.0,1.0,1.0,False,False,False,0,False,False,False,False,False,False,FULL_RISK_CERTIFIED,0.9880709366492499,False
2025-04-07,30.859645177768275,1.0,0.55,1.0,1.0,True,False,True,1,False,True,False,False,False,False,FASTGATE_PROVISIONAL_FIRST_WARNING,0.9911747551657555,False
2025-04-08,31.124013039833535,0.55,1.0,1.0,1.0,False,False,False,0,False,False,False,False,False,False,NORMAL,1.0085667822990951,True
2026-07-21,65.96239455520377,1.0,0.55,1.0,0.55,False,False,False,0,False,False,False,False,False,True,LD_ENTER_DIVERGENCE,1.0136882003260486,False
