date,0bp_control_allocation,10bp_control_allocation,0bp_control_reason,10bp_control_reason,0bp_wc_dd,10bp_wc_dd,0bp_control_nav,10bp_control_nav
2015-10-29,0.55,0.0,NORMAL,FULL_RISK_HELD,-0.07328125882908976,-0.06658778787274011,3.927372066186155,3.8458200204078707
2015-10-30,0.55,0.0,NORMAL,FULL_RISK_HELD,-0.07773177788011487,-0.07003009106281544,3.9169985149850457,3.8458200204078707
2015-11-02,0.55,0.0,NORMAL,FULL_RISK_HELD,-0.06886279712479682,-0.062256105599695966,3.937715786802661,3.8458200204078707
2015-11-03,0.55,0.0,NORMAL,FULL_RISK_HELD,-0.06886662377507091,-0.0629629736442614,3.938094313802979,3.8466608780354212
2015-11-04,0.55,0.0,NORMAL,FULL_RISK_HELD,-0.07299470594646618,-0.0665426119162299,3.9281044133294043,3.845820020407871
2015-11-05,0.55,0.0,NORMAL,FULL_RISK_HELD,-0.07339604669099042,-0.06829914929142122,3.927169057730078,3.845820020407871
2015-11-06,0.55,0.0,NORMAL,FULL_RISK_HELD,-0.07168728096743937,-0.06791434752838177,3.9311522444182647,3.845820020407871
2015-11-09,0.55,0.0,NORMAL,FULL_RISK_HELD,-0.07989112002713172,-0.07607092924918779,3.9124314594084897,3.8466608780354217
2015-11-10,0.55,0.0,NORMAL,FULL_RISK_HELD,-0.07583869913365138,-0.07195759443739269,3.921523906575206,3.8458200204078725
2015-11-11,0.55,0.0,NORMAL,FULL_RISK_HELD,-0.08192943695548893,-0.07727345248345485,3.9076949759570594,3.846660878035423
2015-11-12,0.65,0.0,NORMAL,FULL_RISK_HELD,-0.09456528572520606,-0.09031726737696766,3.8748552224904684,3.846660878035423
2015-11-13,0.65,0.0,NORMAL,FULL_RISK_HELD,-0.10850647977271366,-0.10457648286833154,3.8357784202608776,3.845820020407874
2015-11-16,0.65,0.0,NORMAL,FULL_RISK_HELD,-0.09605447659225952,-0.09197272681197222,3.870896693406844,3.8466608780354243
2015-11-17,0.65,0.0,NORMAL,FULL_RISK_HELD,-0.0857695220997221,-0.08359566936545282,3.899228146475196,3.8458200204078743
2015-11-18,0.65,0.0,NORMAL,FULL_RISK_HELD,-0.07264565063796391,-0.07051619240641605,3.935611127190038,3.8458200204078743
2015-11-19,0.65,0.0,NORMAL,FULL_RISK_HELD,-0.07386443875031223,-0.07217887776649723,3.9325502186758237,3.846660878035425
2015-11-20,0.65,0.0,NORMAL,FULL_RISK_HELD,-0.06467344870193781,-0.06522468997840503,3.9576167129675643,3.8458200204078756
2015-11-23,0.65,0.0,NORMAL,FULL_RISK_HELD,-0.06399285349511963,-0.06482434720577657,3.959791425531205,3.846660878035426
2015-11-24,0.65,0.0,NORMAL,FULL_RISK_HELD,-0.059984582911930984,-0.059745584513103744,3.970510549351388,3.845820020407876
2015-11-25,0.65,0.0,NORMAL,FULL_RISK_HELD,-0.05789136657106786,-0.05745385049604024,3.9762575183032283,3.845820020407876
2015-11-27,0.65,0.0,NORMAL,FULL_RISK_HELD,-0.05602916049032469,-0.0553898712615688,3.981518408832107,3.84624044922165
2015-11-30,0.65,0.0,NORMAL,FULL_RISK_HELD,-0.06543390223173551,-0.06398842456440101,3.9558867291939723,3.846660878035425
