decision_date,execution_date,ticker,intended_shares,executed_shares,close_price_used_for_planning,next_open_price,close_to_open_percentage_gap,cash_available_before_execution,required_reserve,uncommitted_cash_after_reserve,close_required_reserve,close_uncommitted_cash_after_reserve,intended_notional,executed_notional,became_q0,buffer_basis_points,gap_alone_would_clip,open_uncommitted_cash_change_vs_close
2007-07-13,2007-07-16,GLBL1,136,135,28.68,28.97,1.0111576011157641,3916.471811001022,0.0,3916.471811001022,0.0,3916.471811001022,3900.48,3910.95,False,0,True,0.0
2008-06-02,2008-06-03,JRCCQ,119,118,40.77,40.87,0.2452783909737466,4860.902657064056,0.0,4860.902657064056,0.0,4860.902657064056,4851.63,4822.66,False,0,True,0.0
2009-04-07,2009-04-08,NFLX,18,17,43.7,44.070142,0.8470068649885532,792.464503627109,0.0,792.464503627109,0.0,792.464503627109,786.6,749.192414,False,0,True,0.0
2009-09-11,2009-09-14,FUQI,103,101,30.35,30.99,2.1087314662273426,3135.2555978131177,0.0,3135.2555978131177,0.0,3135.2555978131177,3126.05,3129.99,False,0,True,0.0
2009-10-21,2009-10-22,VECO,109,108,25.41,25.420000000000005,0.03935458480914811,2772.829127813121,0.0,2772.829127813121,0.0,2772.829127813121,2769.69,2745.3600000000006,False,0,True,0.0
2011-04-18,2011-04-19,JAZZ,54,53,34.21,34.44,0.6723180356620784,1850.3414510031243,0.0,1850.3414510031243,0.0,1850.3414510031243,1847.3400000000001,1825.32,False,0,True,0.0
2011-11-25,2011-11-28,GNCIQ,165,160,27.35,28.09,2.7056672760511935,4523.953964751133,0.0,4523.953964751133,0.0,4523.953964751133,4512.75,4494.4,False,0,True,0.0
2013-03-05,2013-03-06,EV1,68,67,39.25,39.48,0.5859872611464922,2678.269642418638,0.0,2678.269642418638,0.0,2678.269642418638,2669.0,2645.16,False,0,True,0.0
2013-10-23,2013-10-24,QIHU,74,73,87.56,88.04,0.5481955230699054,6498.627412570626,0.0,6498.627412570626,0.0,6498.627412570626,6479.4400000000005,6426.92,False,0,True,0.0
2015-08-03,2015-08-04,ADPTQ,83,82,113.45,114.43,0.8638166593212926,9436.516818326698,0.0,9436.516818326698,0.0,9436.516818326698,9416.35,9383.26,False,0,True,0.0
2016-06-07,2016-06-08,CDE,844,812,8.32,8.65,3.9663461538461453,7034.571285758376,0.0,7034.571285758376,0.0,7034.571285758376,7022.08,7023.8,False,0,True,0.0
2016-09-30,2016-10-03,WB,90,89,50.14,50.64,0.9972078181093025,4548.61812840786,0.0,4548.61812840786,0.0,4548.61812840786,4512.6,4506.96,False,0,True,0.0
2016-11-04,2016-11-07,BRSL,240,237,27.69,28.05,1.300108342361872,6679.13116840786,0.0,6679.13116840786,0.0,6679.13116840786,6645.6,6647.85,False,0,True,0.0
2018-03-26,2018-03-27,GMED,185,184,50.5,50.57000000000001,0.13861386138616094,9353.773567196184,0.0,9353.773567196184,0.0,9353.773567196184,9342.5,9304.880000000001,False,0,True,0.0
2018-07-05,2018-07-06,WWE,5,4,75.37,76.03,0.875679978771382,379.30496113106494,0.0,379.30496113106494,0.0,379.30496113106494,376.85,304.12,False,0,True,0.0
2020-01-31,2020-02-03,SYNA,130,128,66.69,67.45,1.139601139601143,8679.657675860184,0.0,8679.657675860184,0.0,8679.657675860184,8669.699999999999,8633.6,False,0,True,0.0
2020-05-08,2020-05-11,NVAX,69,65,18.73,19.81,5.766150560597971,1305.186230699146,0.0,1305.186230699146,0.0,1305.186230699146,1292.3700000000001,1287.6499999999999,False,0,True,0.0
2020-07-08,2020-07-09,DOCU,42,41,206.35,211.5,2.495759631693728,8869.631590699155,0.0,8869.631590699155,0.0,8869.631590699155,8666.699999999999,8671.5,False,0,True,0.0
2020-10-07,2020-10-08,SAIL1,323,320,46.26,46.6,0.7349762213575417,14967.965510699163,0.0,14967.965510699163,0.0,14967.965510699163,14941.98,14912.0,False,0,True,0.0
2021-04-28,2021-04-29,DAC,337,330,54.75,55.99999999999999,2.2831050228310446,18505.102709445226,0.0,18505.102709445226,0.0,18505.102709445226,18450.75,18479.999999999996,False,0,True,0.0
2021-05-25,2021-05-26,CHRD,245,244,82.95999999999998,83.29,0.3977820636451579,20401.49180944523,0.0,20401.49180944523,0.0,20401.49180944523,20325.199999999993,20322.760000000002,False,0,True,0.0
2022-02-22,2022-02-23,CNQ,382,381,52.18,52.779999999999994,1.1498658489842661,20158.76008233742,0.0,20158.76008233742,0.0,20158.76008233742,19932.76,20109.179999999997,False,0,True,0.0
2022-04-07,2022-04-08,MDRX,431,428,22.63,22.770000000000003,0.6186478126381179,9775.485812337436,0.0,9775.485812337436,0.0,9775.485812337436,9753.529999999999,9745.560000000001,False,0,True,0.0
2023-08-30,2023-08-31,APP,397,396,42.98,43.1,0.27919962773383933,17116.831052337453,0.0,17116.831052337453,0.0,17116.831052337453,17063.059999999998,17067.600000000002,False,0,True,0.0
2023-11-27,2023-11-28,CNR,163,162,104.67,105.42,0.7165376898824904,17178.549972337467,0.0,17178.549972337467,0.0,17178.549972337467,17061.21,17078.04,False,0,True,0.0
2024-07-15,2024-07-16,TRGP,145,144,134.34,134.89,0.40940896233436774,19538.862444337472,0.0,19538.862444337472,0.0,19538.862444337472,19479.3,19424.159999999996,False,0,True,0.0
2025-12-15,2025-12-16,PVLA,338,334,88.98,90.01000000000002,1.1575634974151594,30180.321359337562,0.0,30180.321359337562,0.0,30180.321359337562,30075.24,30063.340000000007,False,0,True,0.0
