Buffer basis points,Transaction date,Buy or sell,Ticker,Ticker name,Amount of shares
0,2006-07-06,BUY,MED,,205.0
0,2006-07-06,BUY,ACLI,,66.0
0,2006-07-06,BUY,FALB,,75.0
0,2006-07-06,BUY,TTI,,131.0
0,2006-07-06,BUY,CHAP1,,56.0
0,2006-07-06,BUY,LFCHY,,64.0
0,2006-07-06,BUY,ADM,,94.0
0,2006-07-06,BUY,LVS,,53.0
0,2006-07-06,BUY,MNST,,19.0
0,2006-07-06,BUY,BFH,,67.0
0,2006-07-06,BUY,AVL1,,84.0
0,2006-07-06,BUY,LECO,,65.0
0,2006-07-06,BUY,DAKT,,137.0
0,2006-07-06,BUY,MTW,,89.0
0,2006-07-06,BUY,VOLT2,,83.0
0,2006-07-06,BUY,EXPD,,74.0
0,2006-07-06,BUY,KEX,,101.0
0,2006-07-06,BUY,OII,,86.0
0,2006-07-06,BUY,FTI1,,57.0
0,2006-07-06,BUY,WEBX1,,111.0
0,2006-07-06,BUY,JLL,,46.0
0,2006-07-06,BUY,AGP,,130.0
0,2006-07-06,BUY,ATI,,58.0
0,2006-07-06,BUY,TEX,,40.0
0,2006-07-06,BUY,WCC,,60.0
0,2006-08-08,SELL,MNST,,76.0
0,2006-08-10,SELL,EXPD,,74.0
0,2006-08-16,SELL,MED,,205.0
0,2006-08-28,SELL,DAKT,,137.0
0,2006-09-08,BUY,CMCSK,,101.0
0,2006-09-12,BUY,HCR1,,65.0
0,2006-09-15,SELL,VOLT2,,83.0
0,2006-09-18,SELL,OII,,86.0
0,2006-09-18,BUY,CXW,,80.0
0,2006-10-04,BUY,CMCSA,,94.0
0,2006-10-17,BUY,EPC,,49.0
0,2006-10-18,BUY,UST1,,44.0
0,2006-11-02,BUY,CNP,,2.0
0,2006-12-18,BUY,MA,,41.0
0,2006-12-26,SELL,TTI,,131.0
0,2006-12-26,SELL,ADM,,94.0
0,2006-12-26,SELL,KEX,,101.0
0,2006-12-26,SELL,FTI1,,57.0
0,2006-12-26,SELL,WEBX1,,111.0
0,2006-12-26,SELL,WCC,,60.0
0,2007-01-30,BUY,TSG1,,129.0
0,2007-01-31,BUY,CF,,136.0
0,2007-02-01,BUY,MTCH,,109.0
0,2007-02-02,BUY,HAS,,146.0
0,2007-02-05,BUY,TRA,,287.0
0,2007-02-06,BUY,UIS,,11.0
0,2007-02-28,SELL,LFCHY,,170.6688
0,2007-03-30,BUY,MIR2,,102.0
0,2007-05-04,SELL,AGP,,130.0
0,2007-05-15,BUY,GEN1,,179.0
0,2007-05-22,SELL,LVS,,53.0
0,2007-06-06,BUY,TRW,,119.0
0,2007-06-13,SELL,ACLI,,132.0
0,2007-06-22,BUY,NRG,,111.0
0,2007-07-16,BUY,GLBL1,,135.0
0,2007-07-25,SELL,MTCH,,109.0
0,2007-07-30,SELL,UIS,,11.0
0,2007-08-10,SELL,TRA,,287.0
0,2007-08-24,BUY,TBSIQ,,117.0
0,2007-08-29,BUY,DRYS,,71.0
0,2007-09-12,BUY,CROX,,1.0
0,2007-10-30,SELL,CMCSA,,141.0
0,2007-10-30,BUY,EDO,,89.0
0,2007-11-02,SELL,CMCSK,,151.5
0,2007-11-02,SELL,CROX,,1.0
0,2007-11-08,SELL,JLL,,46.0
0,2007-11-08,SELL,TRW,,119.0
0,2007-11-12,SELL,TEX,,80.0
0,2007-11-13,SELL,TBSIQ,,117.0
0,2007-11-13,SELL,DRYS,,71.0
0,2007-11-30,BUY,MTL,,57.0
0,2007-12-05,BUY,TELFY,,46.0
0,2007-12-06,BUY,SIGM,,68.0
0,2007-12-11,BUY,IHS2,,71.0
0,2007-12-12,SELL,NRG,,111.0
0,2007-12-12,BUY,BIDU,,12.0
0,2007-12-13,BUY,BMRN,,172.0
0,2007-12-14,BUY,KUST,,821.0
0,2007-12-17,BUY,GLDN1,,47.0
0,2008-01-04,SELL,GLBL1,,135.0
0,2008-01-07,SELL,ATI,,58.0
0,2008-01-08,SELL,SIGM,,68.0
0,2008-01-10,SELL,HAS,,146.0
0,2008-01-15,BUY,CVD,,50.0
0,2008-01-18,SELL,GEN1,,179.0
0,2008-01-18,SELL,BFH,,67.0
0,2008-01-18,SELL,LECO,,65.0
0,2008-01-18,SELL,MTW,,178.0
0,2008-01-18,SELL,BIDU,,12.0
0,2008-02-06,BUY,PRGO,,131.0
0,2008-02-07,SELL,CXW,,160.0
0,2008-02-07,BUY,MEE,,115.0
0,2008-02-08,BUY,MOS,,47.0
0,2008-02-11,BUY,INCY,,376.0
0,2008-02-12,BUY,AUXL,,136.0
0,2008-02-13,BUY,GOLD1,,98.0
0,2008-02-21,BUY,FRFHF,,15.0
0,2008-02-22,BUY,CMO,,258.0
0,2008-02-25,BUY,PHRM,,67.0
0,2008-02-26,BUY,KGC,,123.0
0,2008-03-07,SELL,CMO,,258.0
0,2008-03-10,SELL,CELG,,56.0
0,2008-03-11,SELL,INCY,,376.0
0,2008-03-14,SELL,CNP,,2.0
0,2008-03-14,BUY,CMP,,75.0
0,2008-03-17,BUY,SID,,115.0
0,2008-03-24,SELL,AUXL,,136.0
0,2008-04-09,BUY,WLTGQ,,68.0
0,2008-04-10,BUY,XEC,,81.0
0,2008-04-11,BUY,EOG,,5.0
0,2008-04-15,BUY,SWN,,1.0
0,2008-04-16,BUY,THC,,2.0
0,2008-04-24,BUY,BPZRQ,,2.0
0,2008-04-30,SELL,KGC,,123.0
0,2008-04-30,SELL,EPC,,49.0
0,2008-05-29,SELL,TELFY,,46.0
0,2008-06-02,BUY,MMR,,163.0
0,2008-06-03,BUY,JRCCQ,,118.0
0,2008-06-04,SELL,IHS2,,71.0
0,2008-06-13,SELL,GOLD1,,98.0
0,2008-06-30,BUY,UNTCQ,,65.0
