decision_date,ticker,outcome,planned_shares,close_price,close_nav,cash_before_decision,required_reserve,uncommitted_cash_after_reserve,intended_capital,funding_fraction,q0_reason,buffer_basis_points
2006-07-05,MED,PLAN_OPEN_SIZE,0,19.49,100000.0,100000.0,100.0,99900.0,4000.0,1.0,,10
2006-07-05,ACLI,PLAN_OPEN_SIZE,0,59.89,100000.0,100000.0,100.0,99900.0,4000.0,1.0,,10
2006-07-05,FALB,PLAN_OPEN_SIZE,0,53.26,100000.0,100000.0,100.0,99900.0,4000.0,1.0,,10
2006-07-05,TTI,PLAN_OPEN_SIZE,0,30.37,100000.0,100000.0,100.0,99900.0,4000.0,1.0,,10
2006-07-05,CHAP1,PLAN_OPEN_SIZE,0,71.0,100000.0,100000.0,100.0,99900.0,4000.0,1.0,,10
2006-07-05,LFCHY,PLAN_OPEN_SIZE,0,61.65,100000.0,100000.0,100.0,99900.0,4000.0,1.0,,10
2006-07-05,ADM,PLAN_OPEN_SIZE,0,42.21,100000.0,100000.0,100.0,99900.0,4000.0,1.0,,10
2006-07-05,LVS,PLAN_OPEN_SIZE,0,75.06999999999998,100000.0,100000.0,100.0,99900.0,4000.0,1.0,,10
2006-07-05,MNST,PLAN_OPEN_SIZE,0,205.35,100000.0,100000.0,100.0,99900.0,4000.0,1.0,,10
2006-07-05,BFH,PLAN_OPEN_SIZE,0,58.81,100000.0,100000.0,100.0,99900.0,4000.0,1.0,,10
2006-07-05,AVL1,PLAN_OPEN_SIZE,0,47.38,100000.0,100000.0,100.0,99900.0,4000.0,1.0,,10
2006-07-05,LECO,PLAN_OPEN_SIZE,0,60.63,100000.0,100000.0,100.0,99900.0,4000.0,1.0,,10
2006-07-05,DAKT,PLAN_OPEN_SIZE,0,29.03,100000.0,100000.0,100.0,99900.0,4000.0,1.0,,10
2006-07-05,MTW,PLAN_OPEN_SIZE,0,44.87,100000.0,100000.0,100.0,99900.0,4000.0,1.0,,10
2006-07-05,VOLT2,PLAN_OPEN_SIZE,0,47.67,100000.0,100000.0,100.0,99900.0,4000.0,1.0,,10
2006-07-05,EXPD,PLAN_OPEN_SIZE,0,53.73,100000.0,100000.0,100.0,99900.0,4000.0,1.0,,10
2006-07-05,KEX,PLAN_OPEN_SIZE,0,39.46,100000.0,100000.0,100.0,99900.0,4000.0,1.0,,10
2006-07-05,OII,PLAN_OPEN_SIZE,0,46.05,100000.0,100000.0,100.0,99900.0,4000.0,1.0,,10
2006-07-05,FTI1,PLAN_OPEN_SIZE,0,69.18,100000.0,100000.0,100.0,99900.0,4000.0,1.0,,10
2006-07-05,WEBX1,PLAN_OPEN_SIZE,0,35.75,100000.0,100000.0,100.0,99900.0,4000.0,1.0,,10
2006-07-05,JLL,PLAN_OPEN_SIZE,0,86.25,100000.0,100000.0,100.0,99900.0,4000.0,1.0,,10
2006-07-05,AGP,PLAN_OPEN_SIZE,0,30.67,100000.0,100000.0,100.0,99900.0,4000.0,1.0,,10
2006-07-05,ATI,PLAN_OPEN_SIZE,0,68.61,100000.0,100000.0,100.0,99900.0,4000.0,1.0,,10
2006-07-05,TEX,PLAN_OPEN_SIZE,0,98.96,100000.0,100000.0,100.0,99900.0,4000.0,1.0,,10
2006-07-05,WCC,PLAN_OPEN_SIZE,0,66.6,100000.0,100000.0,100.0,99900.0,4000.0,1.0,,10
2006-09-07,CMCSK,PLAN_OPEN_SIZE,0,34.86,88295.14900593687,10389.158225979421,88.29514900593686,10300.863076973485,3531.8059602374747,1.0,,10
2006-09-11,HCR1,PLAN_OPEN_SIZE,0,52.21,86057.14143516133,6857.352265741947,86.05714143516134,6771.2951243067855,3442.2856574064535,1.0,,10
2006-09-15,CXW,PLAN_OPEN_SIZE,0,43.47,87219.7647263078,6183.008927274188,87.2197647263078,6095.789162547881,3488.790589052312,1.0,,10
2006-10-03,CMCSA,PLAN_OPEN_SIZE,0,37.07,87179.36558142585,9455.600117883316,87.17936558142586,9368.42075230189,3487.174623257034,1.0,,10
2006-10-16,EPC,PLAN_OPEN_SIZE,0,76.62,94704.16725881188,5968.425494626281,94.70416725881188,5873.721327367469,3788.166690352475,1.0,,10
2006-10-17,UST1,PLAN_OPEN_SIZE,0,55.79,94054.60325499256,2180.2588042738057,94.05460325499256,2086.2042010188134,3762.1841301997024,0.5545194304214117,,10
2006-11-01,ACAS,Q0_SKIP,0,42.74,93491.7254587699,11.177633555255936,93.4917254587699,0.0,3739.6690183507963,0.0,CASH_SCARCITY,10
2006-11-01,BLS,Q0_SKIP,0,44.2,93491.7254587699,11.177633555255936,93.4917254587699,0.0,3739.6690183507963,0.0,CASH_SCARCITY,10
2006-11-01,T,Q0_SKIP,0,33.76,93491.7254587699,11.177633555255936,93.4917254587699,0.0,3739.6690183507963,0.0,CASH_SCARCITY,10
2006-11-01,NEE,Q0_SKIP,0,51.59,93491.7254587699,11.177633555255936,93.4917254587699,0.0,3739.6690183507963,0.0,CASH_SCARCITY,10
2006-11-01,LH,Q0_SKIP,0,67.3,93491.7254587699,11.177633555255936,93.4917254587699,0.0,3739.6690183507963,0.0,CASH_SCARCITY,10
2006-11-01,CNP,Q0_SKIP,0,15.45,93491.7254587699,11.177633555255936,93.4917254587699,0.0,3739.6690183507963,0.0,CASH_SCARCITY,10
2006-11-01,ETR,Q0_SKIP,0,86.2,93491.7254587699,11.177633555255936,93.4917254587699,0.0,3739.6690183507963,0.0,CASH_SCARCITY,10
2006-11-01,VNO,Q0_SKIP,0,119.09,93491.7254587699,11.177633555255936,93.4917254587699,0.0,3739.6690183507963,0.0,CASH_SCARCITY,10
2006-11-01,AIV,Q0_SKIP,0,56.85,93491.7254587699,11.177633555255936,93.4917254587699,0.0,3739.6690183507963,0.0,CASH_SCARCITY,10
2006-11-01,ES,Q0_SKIP,0,25.12,93491.7254587699,11.177633555255936,93.4917254587699,0.0,3739.6690183507963,0.0,CASH_SCARCITY,10
2006-11-01,BXP,Q0_SKIP,0,105.84,93491.7254587699,11.177633555255936,93.4917254587699,0.0,3739.6690183507963,0.0,CASH_SCARCITY,10
