Transaction date,Buy or sell,Ticker,Ticker name,Amount of shares
2006-07-06,BUY,MED,,201.10739788646183
2006-07-06,BUY,ACLI,,66.70011677522946
2006-07-06,BUY,FALB,,75.58169086445993
2006-07-06,BUY,TTI,,131.4474998685525
2006-07-06,BUY,CHAP1,,55.88816777627967
2006-07-06,BUY,LFCHY,,63.43041191557186
2006-07-06,BUY,ADM,,92.93032548846504
2006-07-06,BUY,LVS,,53.408233039347735
2006-07-06,BUY,MNST,,19.337428715340582
2006-07-06,BUY,BFH,,67.10334166253563
2006-07-06,BUY,AVL1,,84.37508437508438
2006-07-06,BUY,LECO,,65.90803226132272
2006-07-06,BUY,DAKT,,135.45776257640668
2006-07-06,BUY,MTW,,88.80008880008882
2006-07-06,BUY,VOLT2,,82.56121312804613
2006-07-06,BUY,EXPD,,74.8035192063646
2006-07-06,BUY,KEX,,99.52687412214188
2006-07-06,BUY,OII,,87.15384942211551
2006-07-06,BUY,FTI1,,57.413850517298805
2006-07-06,BUY,WEBX1,,112.08987366070116
2006-07-06,BUY,JLL,,46.298273618398746
2006-07-06,BUY,AGP,,129.8246912282
2006-07-06,BUY,ATI,,58.284772403792246
2006-07-06,BUY,TEX,,40.29854776123434
2006-07-06,BUY,WCC,,60.09028565419543
2006-08-08,SELL,MNST,,77.34971486136233
2006-08-10,SELL,EXPD,,74.8035192063646
2006-08-16,SELL,MED,,201.10739788646183
2006-08-28,SELL,DAKT,,135.45776257640668
2006-09-08,BUY,CMCSK,,101.09678463185398
2006-09-12,BUY,HCR1,,65.86567344562071
2006-09-15,SELL,VOLT2,,82.56121312804613
2006-09-18,SELL,OII,,87.15384942211551
2006-09-18,BUY,CXW,,80.39919916421093
2006-10-04,BUY,CMCSA,,94.5421626339132
2006-10-17,BUY,EPC,,49.53379984351349
2006-10-18,BUY,UST1,,39.04070126456813
2006-11-16,BUY,VNO,,33.474038887554904
2006-12-18,BUY,MA,,3.5979635369629626
2006-12-26,SELL,TTI,,131.4474998685525
2006-12-26,SELL,ADM,,92.93032548846504
2006-12-26,SELL,KEX,,99.52687412214188
2006-12-26,SELL,FTI1,,57.413850517298805
2006-12-26,SELL,WEBX1,,112.08987366070116
2006-12-26,SELL,WCC,,60.09028565419543
2007-01-30,BUY,TSG1,,128.96707474776167
2007-01-31,BUY,CF,,135.92712669517474
2007-02-01,BUY,MTCH,,108.87891162495366
2007-02-02,BUY,HAS,,146.3868131210982
2007-02-05,BUY,TRA,,277.060605674282
2007-02-28,SELL,LFCHY,,169.14987945525547
2007-03-01,BUY,RYAAY,,93.40574895186813
2007-03-30,BUY,MIR2,,60.487832922487016
2007-05-04,SELL,AGP,,129.8246912282
2007-05-15,BUY,GEN1,,175.52614425178433
2007-05-22,SELL,LVS,,53.408233039347735
2007-06-06,BUY,TRW,,116.35484858790608
2007-06-13,SELL,ACLI,,133.40023355045892
2007-06-22,BUY,NRG,,108.04498903365656
2007-07-16,BUY,GLBL1,,61.508300975673016
2007-07-25,SELL,MTCH,,108.87891162495366
2007-08-10,SELL,TRA,,277.060605674282
2007-08-21,SELL,RYAAY,,93.40574895186813
2007-08-24,BUY,TBSIQ,,115.95612641501407
2007-09-12,BUY,GRMN,,41.55735939655246
2007-10-01,BUY,ZNHYY,,60.27525505321241
2007-10-30,SELL,CMCSA,,141.81324395086978
2007-10-30,BUY,EDO,,84.59475022417469
2007-11-02,SELL,CMCSK,,151.64517694778095
2007-11-08,SELL,JLL,,46.298273618398746
2007-11-08,SELL,TRW,,116.35484858790608
2007-11-09,SELL,GRMN,,41.55735939655246
2007-11-09,SELL,ZNHYY,,60.27525505321241
2007-11-12,SELL,TEX,,80.59709552246868
2007-11-13,SELL,TBSIQ,,115.95612641501407
2007-11-20,SELL,VNO,,33.474038887554904
2007-11-30,BUY,MTL,,49.968639782376016
2007-12-05,BUY,TELFY,,43.66188910095082
2007-12-11,BUY,IHS2,,65.25488776974856
2007-12-12,SELL,NRG,,108.04498903365656
2007-12-12,BUY,BIDU,,11.357218107717308
2007-12-13,BUY,SIGM,,67.56532169592151
2007-12-14,BUY,BMRN,,126.51315536654214
2007-12-17,BUY,KUST,,735.7910121488271
2007-12-18,BUY,PRGO,,135.14884656359393
2007-12-21,BUY,ONXX,,78.88364461712732
2008-01-04,SELL,GLBL1,,61.508300975673016
2008-01-07,SELL,ATI,,58.284772403792246
2008-01-08,SELL,SIGM,,67.56532169592151
2008-01-10,SELL,HAS,,146.3868131210982
2008-01-15,BUY,CVD,,45.44193143824768
2008-01-18,SELL,GEN1,,175.52614425178433
2008-01-18,SELL,BFH,,67.10334166253563
2008-01-18,SELL,LECO,,65.90803226132272
2008-01-18,SELL,MTW,,177.60017760017763
2008-01-18,SELL,BIDU,,11.357218107717308
2008-02-06,BUY,MEE,,99.9235682100752
2008-02-07,SELL,CXW,,160.79839832842185
2008-02-07,BUY,ANRZQ,,116.6992930780721
2008-02-08,BUY,MOS,,42.22536176640018
2008-02-11,BUY,INCY,,339.80958107526396
2008-02-12,BUY,AUXL,,121.06443479743542
2008-02-13,BUY,GOLD1,,87.78882590951287
2008-02-20,SELL,ONXX,,78.88364461712732
2008-02-21,BUY,FRFHF,,14.142195405793888
2008-02-22,BUY,CMO,,232.93923517395916
2008-02-25,BUY,GLDN1,,40.257985308745376
