Transaction date,Buy or sell,Ticker,Ticker name,Amount of shares
2006-07-06,BUY,MED,,201.0
2006-07-06,BUY,ACLI,,66.0
2006-07-06,BUY,FALB,,75.0
2006-07-06,BUY,TTI,,131.0
2006-07-06,BUY,CHAP1,,55.0
2006-07-06,BUY,LFCHY,,63.0
2006-07-06,BUY,ADM,,92.0
2006-07-06,BUY,LVS,,53.0
2006-07-06,BUY,MNST,,19.0
2006-07-06,BUY,BFH,,67.0
2006-07-06,BUY,AVL1,,84.0
2006-07-06,BUY,LECO,,65.0
2006-07-06,BUY,DAKT,,135.0
2006-07-06,BUY,MTW,,88.0
2006-07-06,BUY,VOLT2,,82.0
2006-07-06,BUY,EXPD,,74.0
2006-07-06,BUY,KEX,,99.0
2006-07-06,BUY,OII,,87.0
2006-07-06,BUY,FTI1,,57.0
2006-07-06,BUY,WEBX1,,112.0
2006-07-06,BUY,JLL,,46.0
2006-07-06,BUY,AGP,,129.0
2006-07-06,BUY,ATI,,58.0
2006-07-06,BUY,TEX,,40.0
2006-07-06,BUY,WCC,,60.0
2006-08-08,SELL,MNST,,76.0
2006-08-10,SELL,EXPD,,74.0
2006-08-16,SELL,MED,,201.0
2006-08-28,SELL,DAKT,,135.0
2006-09-08,BUY,CMCSK,,101.0
2006-09-12,BUY,HCR1,,65.0
2006-09-15,SELL,VOLT2,,82.0
2006-09-18,SELL,OII,,87.0
2006-09-18,BUY,CXW,,80.0
2006-10-04,BUY,CMCSA,,94.0
2006-10-17,BUY,EPC,,49.0
2006-10-18,BUY,UST1,,51.0
2006-11-16,BUY,VNO,,33.0
2006-12-18,BUY,MA,,4.0
2006-12-26,SELL,TTI,,131.0
2006-12-26,SELL,ADM,,92.0
2006-12-26,SELL,KEX,,99.0
2006-12-26,SELL,FTI1,,57.0
2006-12-26,SELL,WEBX1,,112.0
2006-12-26,SELL,WCC,,60.0
2007-01-30,BUY,TSG1,,128.0
2007-01-31,BUY,CF,,135.0
2007-02-01,BUY,MTCH,,108.0
2007-02-02,BUY,HAS,,146.0
2007-02-05,BUY,TRA,,278.0
2007-02-28,SELL,LFCHY,,168.0021
2007-03-01,BUY,RYAAY,,93.0
2007-03-30,BUY,MIR2,,60.0
2007-05-04,SELL,AGP,,129.0
2007-05-15,BUY,GEN1,,175.0
2007-05-22,SELL,LVS,,53.0
2007-06-06,BUY,TRW,,116.0
2007-06-13,SELL,ACLI,,132.0
2007-06-22,BUY,NRG,,107.0
2007-07-16,BUY,GLBL1,,60.0
2007-07-25,SELL,MTCH,,108.0
2007-08-10,SELL,TRA,,278.0
2007-08-21,SELL,RYAAY,,93.0
2007-08-24,BUY,TBSIQ,,115.0
2007-09-12,BUY,GRMN,,41.0
2007-10-01,BUY,ZNHYY,,60.0
2007-10-30,SELL,CMCSA,,141.0
2007-10-30,BUY,EDO,,84.0
2007-11-02,SELL,CMCSK,,151.5
2007-11-08,SELL,JLL,,46.0
2007-11-08,SELL,TRW,,116.0
2007-11-09,SELL,GRMN,,41.0
2007-11-09,SELL,ZNHYY,,60.0
2007-11-12,SELL,TEX,,80.0
2007-11-13,SELL,TBSIQ,,115.0
2007-11-20,SELL,VNO,,33.0
2007-11-30,BUY,MTL,,49.0
2007-12-05,BUY,TELFY,,43.0
2007-12-11,BUY,IHS2,,65.0
2007-12-12,SELL,NRG,,107.0
2007-12-12,BUY,BIDU,,11.0
2007-12-13,BUY,SIGM,,67.0
2007-12-14,BUY,BMRN,,126.0
2007-12-17,BUY,KUST,,735.0
2007-12-18,BUY,PRGO,,135.0
2007-12-21,BUY,ONXX,,78.0
2008-01-04,SELL,GLBL1,,60.0
2008-01-07,SELL,ATI,,58.0
2008-01-08,SELL,SIGM,,67.0
2008-01-10,SELL,HAS,,146.0
2008-01-15,BUY,CVD,,45.0
2008-01-18,SELL,GEN1,,175.0
2008-01-18,SELL,BFH,,67.0
2008-01-18,SELL,LECO,,65.0
2008-01-18,SELL,MTW,,176.0
2008-01-18,SELL,BIDU,,11.0
2008-02-06,BUY,MEE,,100.0
2008-02-07,SELL,CXW,,160.0
2008-02-07,BUY,ANRZQ,,116.0
2008-02-08,BUY,MOS,,42.0
2008-02-11,BUY,INCY,,339.0
2008-02-12,BUY,AUXL,,121.0
2008-02-13,BUY,GOLD1,,87.0
2008-02-20,SELL,ONXX,,78.0
2008-02-21,BUY,FRFHF,,14.0
2008-02-22,BUY,CMO,,232.0
2008-02-25,BUY,GLDN1,,40.0
2008-02-26,BUY,KGC,,180.0
2008-02-27,BUY,CNX,,47.0
2008-03-07,SELL,CMO,,232.0
2008-03-11,SELL,INCY,,339.0
2008-03-14,BUY,CMP,,66.0
2008-03-24,SELL,AUXL,,121.0
2008-03-24,BUY,WLTGQ,,69.0
2008-04-09,BUY,XEC,,72.0
2008-04-11,BUY,EOG,,4.0
2008-04-30,SELL,KGC,,180.0
2008-04-30,SELL,EPC,,49.0
2008-05-01,BUY,HP,,83.0
2008-05-02,BUY,MMR,,101.0
2008-05-29,SELL,TELFY,,43.0
2008-06-02,BUY,JRCCQ,,100.0
2008-06-04,SELL,IHS2,,65.0
2008-06-05,BUY,UNTCQ,,48.0
2008-06-13,SELL,GOLD1,,87.0
2008-06-30,BUY,EAC1,,42.0
2008-07-07,SELL,BMRN,,126.0
2008-07-07,SELL,MMR,,101.0
2008-07-08,SELL,CVD,,45.0
2008-07-08,BUY,XCOOQ,,137.0
2008-07-09,SELL,JRCCQ,,100.0
2008-07-16,BUY,CPX,,131.0
2008-07-21,SELL,MIR2,,60.0
2008-07-21,SELL,MTL,,147.0
2008-07-21,SELL,CNX,,47.0
2008-07-24,SELL,MEE,,100.0
2008-07-24,SELL,XCOOQ,,137.0
2008-07-30,SELL,EOG,,4.0
2008-08-05,SELL,EAC1,,42.0
2008-08-05,SELL,XEC,,72.0
2008-08-05,SELL,MOS,,42.0
2008-08-05,SELL,KUST,,735.0
2008-08-06,BUY,SPSX,,94.0
2008-08-07,BUY,DRS1,,54.0
2008-08-08,BUY,IPHS,,115.0
2008-08-11,SELL,HP,,83.0
2008-08-12,SELL,FRFHF,,14.0
2008-08-22,BUY,FSYS,,75.0
2008-08-25,BUY,BUD1,,63.0
2008-08-26,BUY,MYGN,,65.0
2008-08-27,BUY,SQNM,,197.0
2008-08-28,BUY,IKN,,255.0
2008-08-29,BUY,WAB,,72.0
2008-09-02,BUY,SYNA,,121.0
2008-09-04,SELL,CMP,,66.0
2008-09-05,SELL,MA,,4.0
2008-09-05,SELL,WLTGQ,,69.0
2008-09-05,BUY,THOR1,,150.0
2008-09-08,SELL,CPX,,131.0
2008-09-08,BUY,OCR,,127.0
2008-09-09,SELL,UNTCQ,,48.0
2008-09-09,BUY,UTHR,,35.0
2008-09-10,SELL,ANRZQ,,116.0
2008-09-10,SELL,CF,,135.0
2008-09-10,BUY,GCO,,104.0
2008-09-11,BUY,PLCE,,91.0
2008-09-12,BUY,VAR,,59.0
2008-09-18,SELL,IPHS,,115.0
2008-09-23,BUY,GAS1,,76.0
2008-09-30,SELL,FSYS,,75.0
2008-10-06,BUY,LDG,,48.0
2008-10-07,BUY,VRX1,,182.0
2008-10-08,SELL,SYNA,,121.0
2008-10-08,SELL,GCO,,104.0
2008-10-08,BUY,UB,,45.0
2008-10-09,SELL,SQNM,,197.0
2008-10-09,BUY,IMCL,,49.0
2008-10-10,SELL,WAB,,72.0
2008-10-13,SELL,VAR,,59.0
2008-10-13,BUY,PB,,95.0
2008-10-14,BUY,BWLD,,83.0
2008-10-15,BUY,FDRY,,198.0
2008-10-16,SELL,PLCE,,91.0
2008-10-20,BUY,ATML,,857.0
2008-10-24,SELL,OCR,,127.0
2008-10-27,SELL,PRGO,,135.0
2008-10-29,SELL,BWLD,,83.0
2008-10-29,SELL,THOR1,,150.0
2008-10-29,SELL,UTHR,,35.0
2008-11-18,BUY,BRL,,49.0
2008-11-26,SELL,ATML,,857.0
2008-12-10,BUY,APOL,,42.0
2008-12-11,BUY,THOR1,,107.0
2008-12-12,BUY,DAL,,328.0
2008-12-15,BUY,AMGN,,54.0
2008-12-16,BUY,ALO1,,89.0
2008-12-17,BUY,LCC,,464.0
2008-12-18,BUY,CBST,,135.0
2008-12-19,BUY,CRI,,159.0
2008-12-24,SELL,GAS1,,76.0
2009-01-13,SELL,PB,,95.0
2009-01-21,BUY,ALK,,111.0
2009-01-22,BUY,JBLU,,497.0
2009-01-23,BUY,IDCC,,104.0
2009-01-26,BUY,SMG,,94.0
2009-01-27,BUY,MNST,,92.0
2009-01-28,SELL,DAL,,328.0
2009-01-28,BUY,RGLD,,66.0
2009-01-29,BUY,FRFHF,,9.0
2009-01-30,SELL,LCC,,464.0
2009-01-30,BUY,ORLY,,102.0
2009-02-02,BUY,DLTR,,72.0
2009-02-03,BUY,AVAV,,82.0
2009-02-04,BUY,ATHN1,,84.0
2009-02-05,BUY,GMCR,,77.0
2009-02-09,BUY,FNF,,165.0
2009-02-13,BUY,ESINQ,,25.0
2009-02-17,BUY,WTRG,,154.0
2009-02-19,SELL,CBST,,135.0
2009-02-20,SELL,JBLU,,497.0
2009-02-20,BUY,MBOT,,1443.0
2009-03-02,SELL,ATHN1,,84.0
2009-03-02,BUY,COCOQ,,141.0
2009-03-03,SELL,ALK,,111.0
2009-03-03,SELL,THOR1,,107.0
2009-03-04,SELL,VRX1,,182.0
2009-03-04,SELL,IDCC,,104.0
2009-03-04,BUY,PRDO,,112.0
2009-03-05,SELL,FRFHF,,9.0
2009-03-11,SELL,AVAV,,82.0
2009-03-23,BUY,CVTX,,138.0
2009-03-24,BUY,AU,,78.0
2009-04-01,BUY,SNDA1,,74.0
2009-04-02,BUY,AZO,,17.0
2009-04-03,BUY,BKNG,,33.0
2009-04-06,BUY,IAG,,364.0
2009-04-07,BUY,ADM,,106.0
2009-04-08,BUY,NFLX,,1.0
2009-04-13,SELL,APOL,,42.0
2009-04-14,BUY,SGP1,,113.0
2009-05-08,SELL,FNF,,165.0
2009-05-08,SELL,MYGN,,130.0
2009-05-13,BUY,TIVO,,139.0
